role,location,education,experience,skills_count,projects,salary_lpa
Data Analyst,Pune,2,0.1,18,3,11.89
DevOps Engineer,US Remote,3,1.5,22,3,40.38
Software Engineer,Ahmedabad,3,3.5,19,1,18.13
AI Engineer,Kolkata,2,1.6,13,5,17.3
Data Analyst,Bangalore,2,4.1,19,5,18.23
Software Engineer,Bangalore,2,3.2,11,5,15.93
Backend Developer,Hyderabad,3,1.7,7,3,14.98
DevOps Engineer,Remote,2,2.4,16,1,15.57
Frontend Developer,Hyderabad,2,0.1,19,4,12.11
Data Analyst,US Remote,2,1.0,18,3,28.31
DevOps Engineer,Hyderabad,0,9.8,5,7,37.07
Backend Developer,Hyderabad,2,1.9,14,2,13.92
Cloud Engineer,Ahmedabad,3,4.2,12,0,18.04
Full Stack Developer,Ahmedabad,2,3.8,11,6,17.75
AI Engineer,Bangalore,3,0.9,22,2,19.05
Cybersecurity Analyst,Hyderabad,2,1.1,21,3,14.62
Data Analyst,Remote,3,1.7,15,2,14.87
Cloud Engineer,Kolkata,2,0.1,22,3,12.2
Full Stack Developer,Delhi,3,0.1,8,3,14.2
Backend Developer,Bangalore,2,2.7,6,2,15.7
AI Engineer,Mumbai,2,2.1,5,6,22.4
Cloud Engineer,US Remote,3,4.5,11,4,40.34
Data Analyst,Pune,2,5.1,22,8,21.92
DevOps Engineer,Bangalore,3,0.6,10,4,12.66
ML Engineer,Chennai,2,4.8,24,4,25.41
Full Stack Developer,Ahmedabad,2,3.3,20,5,14.36
ML Engineer,Kolkata,2,0.3,14,2,11.85
Cybersecurity Analyst,Delhi,2,1.6,14,4,15.08
DevOps Engineer,Ahmedabad,2,2.7,24,3,17.94
Data Analyst,Remote,2,3.4,9,4,15.01
Frontend Developer,Chennai,2,0.8,21,2,12.55
Cybersecurity Analyst,Remote,2,5.5,12,4,18.23
DevOps Engineer,Pune,3,12.2,7,8,39.81
Frontend Developer,Bangalore,2,0.0,12,4,8.71
Cloud Engineer,Mumbai,3,1.8,11,6,21.35
Software Engineer,Ahmedabad,1,2.4,19,3,16.74
Full Stack Developer,US Remote,2,1.0,6,1,25.19
Data Analyst,US Remote,2,3.2,18,5,30.98
DevOps Engineer,Remote,2,1.2,10,4,15.52
AI Engineer,Ahmedabad,3,0.1,19,0,16.36
ML Engineer,Kolkata,2,2.9,11,7,20.63
Backend Developer,Hyderabad,3,0.4,21,3,13.81
AI Engineer,Bangalore,2,7.2,16,6,33.84
ML Engineer,US Remote,1,2.3,20,3,37.61
Software Engineer,Hyderabad,3,1.8,22,6,15.28
Frontend Developer,Kolkata,3,0.0,19,1,10.17
DevOps Engineer,Kolkata,2,0.7,20,4,14.59
DevOps Engineer,Remote,2,1.5,22,2,13.95
Full Stack Developer,Bangalore,2,0.4,11,1,12.32
ML Engineer,Delhi,2,0.1,9,2,12.05
Cloud Engineer,Bangalore,3,0.6,15,2,16.37
Frontend Developer,Delhi,3,3.0,12,2,15.17
AI Engineer,Delhi,3,2.1,18,4,16.67
Software Engineer,Kolkata,1,2.6,13,2,14.76
Software Engineer,Remote,2,6.1,11,2,17.88
Backend Developer,US Remote,2,2.5,22,4,24.38
Cloud Engineer,Hyderabad,3,0.2,7,2,12.88
Backend Developer,Bangalore,3,2.8,12,5,13.19
Data Analyst,Delhi,3,5.6,12,3,18.25
Frontend Developer,Mumbai,2,1.9,9,4,15.56
Frontend Developer,Bangalore,3,0.0,6,3,9.8
Cloud Engineer,Chennai,2,1.5,13,1,16.6
DevOps Engineer,Hyderabad,2,4.6,20,5,23.48
Cybersecurity Analyst,Ahmedabad,2,2.9,10,4,16.26
Software Engineer,Pune,2,0.4,16,3,11.06
Cybersecurity Analyst,Hyderabad,1,1.7,6,3,14.44
Cybersecurity Analyst,Bangalore,2,0.3,11,2,12.89
Cloud Engineer,Remote,0,1.3,10,2,11.96
Backend Developer,Delhi,3,2.6,8,5,15.89
Frontend Developer,Delhi,1,0.9,20,2,10.93
DevOps Engineer,Remote,2,2.3,16,6,15.55
ML Engineer,Chennai,1,3.8,6,1,13.88
Frontend Developer,Delhi,4,4.5,15,5,26.03
ML Engineer,Kolkata,2,3.7,11,5,22.94
DevOps Engineer,Delhi,2,0.9,13,4,15.18
Cloud Engineer,Ahmedabad,2,2.8,6,4,19.22
DevOps Engineer,Chennai,3,0.1,19,3,18.81
Full Stack Developer,Mumbai,2,1.0,18,4,14.36
Data Analyst,Pune,2,0.2,16,5,14.24
Cybersecurity Analyst,Delhi,3,2.9,12,3,20.69
Cloud Engineer,US Remote,2,0.7,18,7,40.36
AI Engineer,Ahmedabad,2,9.1,21,4,27.06
Frontend Developer,Pune,3,0.9,10,3,13.79
Software Engineer,Bangalore,2,2.6,14,1,19.12
Frontend Developer,Pune,2,1.7,16,4,14.2
Cloud Engineer,Bangalore,3,2.4,8,3,19.53
Software Engineer,Bangalore,3,0.9,20,2,11.08
AI Engineer,Kolkata,2,1.1,11,1,15.8
Full Stack Developer,US Remote,2,1.2,8,3,33.04
Cloud Engineer,Mumbai,3,0.2,16,2,14.87
Frontend Developer,Mumbai,2,4.6,11,6,16.94
Data Analyst,US Remote,2,5.4,7,5,31.36
Cybersecurity Analyst,Hyderabad,3,1.9,24,1,13.25
Cloud Engineer,Kolkata,2,5.7,19,2,21.2
Software Engineer,Remote,3,1.2,17,2,17.14
DevOps Engineer,Hyderabad,2,2.7,21,1,19.69
Cybersecurity Analyst,Chennai,2,8.9,12,6,23.0
ML Engineer,Chennai,2,3.2,16,5,14.3
ML Engineer,Ahmedabad,2,2.8,19,5,17.86
Backend Developer,Chennai,2,0.3,18,2,11.67
Full Stack Developer,Remote,1,3.7,19,3,18.3
DevOps Engineer,Mumbai,3,0.3,18,2,16.35
AI Engineer,Remote,3,4.8,20,1,22.17
Data Analyst,Mumbai,3,0.2,15,2,14.57
AI Engineer,Kolkata,1,0.4,10,5,12.79
Data Analyst,Mumbai,3,0.3,24,3,13.72
Cybersecurity Analyst,Remote,3,1.9,7,5,15.42
Cybersecurity Analyst,Kolkata,1,2.0,14,4,13.56
DevOps Engineer,Hyderabad,2,5.1,22,8,21.6
Frontend Developer,Ahmedabad,2,6.2,11,5,19.31
Full Stack Developer,Hyderabad,2,5.1,10,5,21.7
Frontend Developer,Kolkata,2,1.6,21,3,14.91
Cybersecurity Analyst,Delhi,2,1.2,5,4,13.59
Data Analyst,Delhi,1,1.1,22,3,11.44
Full Stack Developer,Hyderabad,2,5.4,9,4,21.65
ML Engineer,US Remote,3,0.3,20,6,44.01
Data Analyst,Delhi,2,1.1,20,0,11.82
Data Analyst,US Remote,1,2.0,18,3,24.27
Full Stack Developer,Pune,2,0.1,8,8,13.58
Software Engineer,Mumbai,2,4.4,7,3,19.14
Data Analyst,Kolkata,3,5.6,17,5,21.21
Frontend Developer,Bangalore,3,0.5,24,0,11.74
Software Engineer,Delhi,3,3.5,21,2,16.68
AI Engineer,Kolkata,2,1.9,12,4,16.05
ML Engineer,Delhi,3,5.4,16,6,28.55
Software Engineer,Remote,3,11.7,15,7,39.89
ML Engineer,Bangalore,2,0.3,17,6,16.78
Data Analyst,Pune,3,0.4,13,2,10.19
Full Stack Developer,Ahmedabad,2,0.6,8,1,10.51
ML Engineer,Hyderabad,3,0.0,19,5,18.86
Cybersecurity Analyst,Pune,3,4.0,20,3,22.67
AI Engineer,Bangalore,2,0.6,12,2,17.98
Cybersecurity Analyst,Mumbai,1,0.2,22,4,12.26
Cybersecurity Analyst,Bangalore,3,1.3,22,4,14.9
ML Engineer,Delhi,2,1.2,8,4,15.71
Full Stack Developer,US Remote,2,0.1,14,2,34.22
AI Engineer,Hyderabad,2,1.2,16,5,17.7
ML Engineer,Delhi,2,0.1,24,0,14.94
Frontend Developer,Pune,4,2.6,15,1,15.68
Frontend Developer,Bangalore,4,1.5,9,5,16.69
DevOps Engineer,Pune,2,0.0,20,3,12.42
Full Stack Developer,Remote,3,7.8,11,4,26.4
ML Engineer,Remote,2,5.3,6,3,23.8
Backend Developer,Remote,3,10.9,9,2,34.03
Full Stack Developer,Pune,2,3.3,22,3,21.56
Data Analyst,Hyderabad,2,3.9,7,2,17.06
Full Stack Developer,Delhi,3,0.9,22,2,13.83
Cybersecurity Analyst,Chennai,0,0.1,23,4,12.66
Software Engineer,Ahmedabad,2,0.6,9,3,12.79
DevOps Engineer,Chennai,3,1.6,5,2,13.77
Cybersecurity Analyst,Hyderabad,2,6.7,6,8,25.22
DevOps Engineer,Mumbai,2,0.7,9,2,14.91
Full Stack Developer,Bangalore,2,3.5,10,5,16.74
Data Analyst,Remote,2,3.0,16,3,15.1
ML Engineer,Mumbai,2,1.6,23,6,21.61
Backend Developer,Hyderabad,2,4.1,11,5,18.7
Software Engineer,Kolkata,2,0.1,10,4,12.12
Data Analyst,US Remote,2,0.7,16,3,21.88
Frontend Developer,Bangalore,2,0.1,23,7,11.98
Software Engineer,Bangalore,3,1.8,5,2,17.07
Backend Developer,Chennai,3,1.8,6,2,14.25
ML Engineer,Chennai,3,0.9,22,2,17.91
DevOps Engineer,Ahmedabad,2,0.7,19,3,13.33
Data Analyst,Delhi,2,0.9,20,3,12.61
Data Analyst,US Remote,3,5.1,14,3,25.25
AI Engineer,Pune,2,1.0,11,3,16.38
Backend Developer,Remote,2,1.8,9,3,12.12
Data Analyst,Chennai,2,4.0,22,3,14.46
Full Stack Developer,Kolkata,2,3.4,17,6,17.02
AI Engineer,Mumbai,0,0.3,13,2,11.39
Data Analyst,Chennai,2,0.3,16,6,10.82
Full Stack Developer,Remote,1,0.7,21,3,15.29
Software Engineer,Chennai,2,0.3,10,2,12.88
ML Engineer,US Remote,3,2.9,17,4,42.27
ML Engineer,Bangalore,1,1.6,15,1,17.33
Full Stack Developer,Remote,2,1.6,7,4,14.9
Full Stack Developer,Kolkata,3,0.9,8,5,11.18
Frontend Developer,Remote,2,2.0,18,2,12.99
Cloud Engineer,Hyderabad,2,13.4,24,7,42.69
DevOps Engineer,Kolkata,0,3.3,19,3,15.6
Cloud Engineer,Pune,3,3.1,5,3,18.03
Backend Developer,US Remote,2,1.4,19,2,27.61
DevOps Engineer,US Remote,2,7.9,19,1,47.6
Cybersecurity Analyst,Remote,1,10.0,13,6,27.95
Backend Developer,Bangalore,4,0.2,6,0,12.38
Backend Developer,Hyderabad,1,0.3,18,1,12.21
AI Engineer,Hyderabad,2,0.4,6,5,14.09
Backend Developer,Pune,3,5.3,10,7,22.74
Cybersecurity Analyst,Chennai,3,7.0,10,2,20.22
AI Engineer,Bangalore,2,0.5,10,4,16.07
Software Engineer,Delhi,2,0.2,21,3,15.33
Backend Developer,Bangalore,2,2.6,7,3,12.79
Backend Developer,Delhi,2,1.8,15,2,16.86
Backend Developer,Pune,2,2.7,6,5,13.59
Full Stack Developer,US Remote,1,1.3,11,5,31.62
Cloud Engineer,Mumbai,3,5.6,10,2,24.09
Full Stack Developer,Chennai,2,0.7,10,4,12.56
Frontend Developer,Delhi,2,1.7,6,2,12.49
Full Stack Developer,US Remote,3,0.8,22,6,35.57
AI Engineer,Chennai,2,2.6,9,3,17.64
Cloud Engineer,Bangalore,2,2.5,24,5,18.8
Data Analyst,Delhi,2,4.6,14,7,19.65
Cloud Engineer,Hyderabad,4,0.4,21,6,16.06
ML Engineer,Hyderabad,2,10.0,15,7,36.19
Backend Developer,Bangalore,3,1.3,17,4,17.04
Backend Developer,Remote,2,1.4,17,4,15.38
Cybersecurity Analyst,Remote,2,1.4,11,3,17.8
AI Engineer,Chennai,2,0.1,6,4,13.63
Cybersecurity Analyst,Ahmedabad,2,0.2,16,2,11.24
Full Stack Developer,US Remote,2,0.3,19,4,34.0
AI Engineer,Hyderabad,4,0.0,5,4,17.12
Full Stack Developer,Hyderabad,2,3.9,22,5,21.51
Cybersecurity Analyst,Delhi,2,1.9,22,4,17.56
Cybersecurity Analyst,Delhi,2,1.0,7,5,12.97
Backend Developer,Kolkata,2,1.8,8,4,11.7
DevOps Engineer,Remote,3,0.1,21,4,15.72
DevOps Engineer,Chennai,2,3.7,6,2,18.38
Frontend Developer,US Remote,3,1.2,7,2,33.3
DevOps Engineer,Bangalore,0,0.9,20,2,15.15
Backend Developer,Kolkata,4,0.6,18,5,12.37
Cloud Engineer,Pune,2,0.9,20,2,13.72
DevOps Engineer,Delhi,2,1.4,8,1,13.14
Frontend Developer,Bangalore,2,0.3,19,2,11.98
DevOps Engineer,Ahmedabad,4,6.4,16,4,25.96
Backend Developer,US Remote,2,0.3,10,5,26.2
Frontend Developer,Delhi,1,3.4,7,3,19.05
Cloud Engineer,Pune,3,2.3,24,2,18.37
Data Analyst,Bangalore,2,2.2,17,5,16.52
ML Engineer,Pune,1,0.8,20,6,12.29
Cybersecurity Analyst,Kolkata,3,1.9,6,4,15.23
Backend Developer,Mumbai,3,1.5,20,4,12.22
ML Engineer,Mumbai,2,0.5,19,3,16.16
Cloud Engineer,Remote,3,0.6,14,4,19.88
Backend Developer,Pune,2,1.8,16,5,13.76
Cybersecurity Analyst,Pune,1,4.0,18,4,21.0
Frontend Developer,Remote,3,3.5,5,7,15.32
Frontend Developer,Bangalore,2,6.8,10,5,23.97
Cybersecurity Analyst,Remote,2,3.4,12,6,16.21
DevOps Engineer,Kolkata,2,0.8,24,1,14.93
Full Stack Developer,Chennai,2,3.3,7,3,13.86
Cloud Engineer,Delhi,2,2.1,5,5,17.38
Software Engineer,Ahmedabad,2,2.1,13,3,12.16
Full Stack Developer,Chennai,3,2.3,10,0,12.67
Cloud Engineer,US Remote,1,3.8,20,3,38.94
Cloud Engineer,Mumbai,2,0.5,16,1,16.94
Data Analyst,Hyderabad,2,1.1,5,3,8.79
Backend Developer,Delhi,3,3.3,10,8,18.01
ML Engineer,Bangalore,2,0.3,24,3,15.57
AI Engineer,Mumbai,2,1.4,19,1,17.83
Frontend Developer,Remote,3,0.3,21,5,13.08
Data Analyst,Kolkata,2,7.9,17,4,28.01
Cybersecurity Analyst,Hyderabad,4,5.5,9,6,25.92
Full Stack Developer,Mumbai,2,0.9,6,2,11.74
Full Stack Developer,Hyderabad,3,3.1,20,4,20.88
Software Engineer,Kolkata,3,0.7,20,5,13.29
Backend Developer,Kolkata,2,4.0,16,5,18.41
Software Engineer,Remote,2,0.7,14,2,9.53
Frontend Developer,Ahmedabad,2,0.7,17,7,12.27
Cybersecurity Analyst,Bangalore,2,0.9,7,4,14.16
Frontend Developer,Remote,2,2.3,15,7,15.45
Frontend Developer,Ahmedabad,3,8.2,9,7,24.23
Backend Developer,Ahmedabad,3,1.1,16,4,11.72
ML Engineer,Mumbai,1,2.7,17,4,19.54
Cloud Engineer,Ahmedabad,2,2.6,13,3,18.66
Data Analyst,Hyderabad,2,0.9,21,3,11.2
Full Stack Developer,Kolkata,0,0.2,15,5,11.78
Frontend Developer,Pune,2,0.6,18,2,11.55
AI Engineer,Bangalore,2,0.5,6,2,16.77
ML Engineer,US Remote,2,2.3,20,5,36.5
Cloud Engineer,Pune,2,3.4,7,3,21.86
Data Analyst,Remote,3,2.4,20,1,13.33
AI Engineer,Ahmedabad,3,0.4,6,4,12.76
Data Analyst,Mumbai,2,0.0,12,5,10.41
Frontend Developer,Remote,2,0.2,16,2,9.42
Data Analyst,Remote,2,0.4,22,2,12.68
Cloud Engineer,Pune,2,1.2,21,2,11.88
ML Engineer,Ahmedabad,3,0.8,5,4,16.5
ML Engineer,Remote,3,0.0,20,2,14.26
Data Analyst,Remote,4,8.5,19,4,27.87
Cloud Engineer,Chennai,1,8.4,11,7,27.28
ML Engineer,Hyderabad,3,3.7,16,7,26.25
AI Engineer,Bangalore,3,1.7,9,4,16.16
Cybersecurity Analyst,Bangalore,2,2.8,13,3,17.27
Backend Developer,US Remote,3,1.3,5,3,30.12
Data Analyst,Bangalore,2,1.0,6,5,11.52
AI Engineer,Chennai,3,0.5,22,4,16.98
Cybersecurity Analyst,Remote,3,1.8,19,5,16.32
Cybersecurity Analyst,Mumbai,2,8.1,14,10,25.01
ML Engineer,Mumbai,2,0.0,8,3,11.5
DevOps Engineer,Mumbai,2,2.5,14,6,17.99
Frontend Developer,Ahmedabad,3,0.4,5,3,8.59
Software Engineer,Delhi,3,1.4,8,6,12.75
Cloud Engineer,Remote,1,1.1,6,4,14.31
Data Analyst,Chennai,3,2.1,22,7,16.24
Backend Developer,Pune,2,2.1,6,5,13.47
Cloud Engineer,Kolkata,2,7.2,17,5,28.83
Full Stack Developer,Pune,0,0.5,8,2,9.81
Frontend Developer,Pune,3,1.3,18,3,10.5
Backend Developer,Mumbai,2,1.1,18,2,13.76
DevOps Engineer,US Remote,3,0.0,17,2,30.03
Backend Developer,Hyderabad,2,6.8,22,5,20.63
DevOps Engineer,US Remote,2,0.6,21,3,28.53
Backend Developer,Chennai,3,0.9,21,3,17.42
Cybersecurity Analyst,Delhi,4,0.2,10,6,15.36
DevOps Engineer,Hyderabad,0,4.8,9,5,19.4
ML Engineer,US Remote,4,5.2,18,6,42.67
DevOps Engineer,Mumbai,2,0.4,17,2,11.91
ML Engineer,Delhi,2,1.2,8,4,18.36
Cloud Engineer,Mumbai,2,3.8,22,5,24.32
Full Stack Developer,Hyderabad,2,3.7,24,2,23.95
AI Engineer,Delhi,3,3.1,14,3,21.07
Full Stack Developer,Delhi,2,0.1,20,6,15.16
ML Engineer,Chennai,3,1.2,8,5,15.61
ML Engineer,Pune,2,0.3,20,1,13.43
Full Stack Developer,Bangalore,2,2.0,23,1,17.0
Full Stack Developer,US Remote,2,4.9,9,8,43.75
Data Analyst,Bangalore,1,0.3,5,4,8.88
Backend Developer,Pune,3,0.2,23,2,11.04
Backend Developer,Ahmedabad,3,0.4,24,2,16.73
ML Engineer,Bangalore,2,2.1,21,4,21.68
Full Stack Developer,Ahmedabad,2,1.8,15,2,14.58
Frontend Developer,Bangalore,1,4.0,24,4,18.28
Full Stack Developer,Remote,3,5.2,24,6,25.73
Backend Developer,Remote,2,1.8,18,5,17.36
DevOps Engineer,Pune,4,0.4,16,2,13.1
Software Engineer,Pune,1,3.6,13,6,18.51
ML Engineer,Chennai,2,2.0,23,3,18.59
Software Engineer,Mumbai,0,3.2,7,1,14.43
Cloud Engineer,Bangalore,3,7.0,18,0,21.07
Cybersecurity Analyst,Delhi,1,0.2,11,2,11.96
ML Engineer,Hyderabad,2,0.1,14,4,13.77
Data Analyst,Delhi,2,2.4,24,4,18.24
Software Engineer,Pune,2,2.5,18,4,16.82
ML Engineer,Ahmedabad,2,8.8,6,4,25.54
Backend Developer,Pune,2,2.3,17,2,14.26
AI Engineer,US Remote,3,2.2,21,6,51.5
Cybersecurity Analyst,Bangalore,1,2.1,13,2,14.76
Cloud Engineer,Mumbai,4,1.4,8,2,20.63
ML Engineer,Remote,2,0.3,8,4,13.28
Software Engineer,Remote,3,4.5,17,3,22.09
ML Engineer,Mumbai,2,0.5,16,0,11.16
AI Engineer,Pune,1,1.9,13,4,20.23
Software Engineer,Remote,2,2.1,21,6,17.75
Frontend Developer,US Remote,3,1.7,17,2,27.23
Software Engineer,Chennai,2,1.5,13,2,14.05
ML Engineer,Mumbai,0,0.7,13,5,13.12
Software Engineer,Delhi,2,0.3,9,1,9.7
Frontend Developer,Pune,2,1.0,7,4,11.43
Cloud Engineer,Hyderabad,3,4.0,12,4,22.46
Software Engineer,Ahmedabad,3,0.5,23,5,16.18
Software Engineer,Delhi,1,7.0,10,5,20.18
Software Engineer,Chennai,3,3.5,21,5,21.19
Full Stack Developer,Delhi,2,1.0,10,1,12.37
DevOps Engineer,Hyderabad,2,1.8,6,6,17.84
Frontend Developer,Chennai,2,6.5,16,5,23.98
DevOps Engineer,Remote,0,6.6,20,3,24.06
