education,cgpa,experience,projects,internships,skills_count,frontend_skills,backend_skills,database_skills,cloud_skills,ml_skills,certifications,has_github,has_linkedin,resume_score,readiness_level
4,10.0,4.9,6,3,14,4,4,2,2,1,2,1,0,94.3,3
3,7.16,2.5,4,4,15,4,5,2,1,0,1,0,0,91.0,3
3,8.71,4.2,3,4,10,2,3,1,1,1,1,0,1,87.8,3
2,7.6,2.6,3,0,16,5,3,3,1,1,0,0,1,84.7,2
2,9.38,0.9,3,0,15,1,7,3,2,1,2,1,0,71.8,2
2,8.19,2.0,5,2,14,6,1,2,1,0,1,0,1,84.1,2
2,8.31,2.6,2,2,12,3,3,2,1,2,0,0,0,66.6,2
0,8.16,0.7,3,0,16,5,5,2,1,0,1,1,1,68.1,2
3,7.4,3.1,5,1,13,3,2,2,1,1,3,1,1,79.6,3
4,8.9,3.0,5,4,11,3,2,2,1,2,1,1,1,78.7,3
2,7.08,1.7,3,0,19,2,7,3,3,0,1,0,1,94.2,2
1,9.34,7.4,4,1,17,5,4,2,2,1,2,1,1,81.1,3
2,8.14,0.8,1,1,15,0,2,2,1,8,1,1,1,71.6,2
0,7.53,0.1,2,0,14,4,3,3,1,0,2,0,0,54.1,1
2,7.86,1.0,0,1,12,3,2,2,1,2,1,0,1,61.3,0
0,8.05,0.0,0,0,15,1,2,1,7,0,3,1,1,58.5,2
2,8.44,1.8,4,1,17,5,5,3,1,0,3,0,1,51.0,2
1,6.71,0.0,3,0,12,5,2,1,0,0,1,1,1,64.4,1
1,6.98,2.4,1,4,13,0,1,4,1,4,1,0,1,74.4,2
1,7.79,1.6,2,0,16,1,6,4,2,1,0,1,0,75.3,1
2,8.41,0.7,2,2,15,4,5,2,1,0,5,1,0,83.4,3
2,8.98,5.4,1,3,13,1,1,4,1,5,0,0,1,78.7,2
3,7.1,9.3,6,4,16,4,5,3,1,1,2,1,1,94.8,3
2,7.83,0.6,1,2,11,4,2,2,1,0,2,1,1,59.1,2
3,7.06,0.2,1,2,13,0,3,2,5,1,2,1,1,68.5,1
2,8.06,3.9,5,2,13,4,3,2,2,0,5,1,0,87.8,3
1,8.33,6.8,1,2,15,3,5,3,2,0,1,1,1,98.0,3
3,8.47,6.2,3,5,16,5,4,2,2,1,0,1,0,95.8,3
1,8.9,11.4,8,2,16,0,2,3,2,5,1,1,1,98.0,3
2,8.86,2.0,1,2,14,4,3,1,1,2,1,0,1,85.8,2
2,6.22,4.4,3,0,16,3,3,2,2,2,1,1,0,81.5,2
2,6.53,0.8,4,2,18,6,5,3,1,0,0,1,1,76.6,2
3,10.0,3.1,4,0,19,1,1,4,2,8,3,1,1,89.9,3
2,7.54,1.2,3,1,15,1,1,4,2,6,0,1,1,73.3,1
4,8.08,1.4,3,1,12,0,3,1,7,0,2,1,0,83.7,2
2,6.93,1.4,1,3,15,0,2,2,1,7,0,1,1,86.1,3
3,7.71,2.8,2,2,12,3,3,1,1,2,0,1,1,67.3,2
2,8.11,2.2,5,0,11,0,2,1,4,0,1,0,0,86.6,2
3,10.0,7.6,2,0,14,0,2,2,1,5,4,1,1,97.4,3
2,7.44,1.5,4,2,18,5,5,3,2,0,3,1,1,79.6,3
2,8.2,0.1,3,3,20,6,4,3,2,1,2,1,1,92.9,3
1,6.55,0.0,1,0,14,4,3,2,1,0,0,1,1,57.9,1
4,8.61,3.0,1,1,15,9,0,1,1,0,4,0,1,98.0,3
1,8.21,0.6,1,1,20,6,4,3,2,1,1,0,1,85.1,2
2,7.89,7.6,7,4,16,1,2,2,1,7,0,0,1,86.9,3
3,9.47,3.9,2,3,13,5,1,2,1,0,2,1,0,82.6,3
2,8.28,0.4,2,2,11,4,2,2,1,1,0,1,1,52.9,2
2,8.03,5.2,5,4,20,6,4,3,2,1,2,1,0,93.4,3
1,8.11,1.4,5,1,12,4,2,2,2,1,1,1,1,63.0,2
2,10.0,1.3,0,3,11,2,3,1,1,2,1,0,1,95.1,2
2,7.2,6.2,0,4,15,1,7,2,2,1,0,1,0,94.7,3
4,9.27,1.2,1,2,14,9,0,2,0,0,4,1,1,87.3,2
3,10.0,1.6,1,3,9,2,3,1,1,1,3,1,1,87.3,2
3,9.66,4.5,3,0,12,4,2,1,1,0,2,0,1,73.1,3
3,7.77,2.2,1,6,9,2,2,1,1,1,0,1,1,62.4,2
2,9.06,0.4,1,0,17,4,5,2,1,1,1,0,1,68.7,2
2,7.97,4.7,3,0,11,2,2,1,2,1,0,1,1,67.3,2
1,9.63,0.3,3,0,14,3,3,2,1,1,0,1,1,88.3,1
2,7.81,0.3,2,0,12,3,4,2,1,0,2,1,1,76.1,1
3,8.52,2.3,4,0,13,2,3,1,2,2,4,1,1,54.1,3
2,7.68,1.5,2,0,17,1,6,3,3,1,1,1,1,70.5,1
4,9.75,10.9,3,2,16,6,5,3,1,0,4,1,1,92.2,3
3,9.36,3.0,2,2,14,4,2,2,1,1,0,0,1,80.5,2
2,7.37,0.3,0,1,14,2,3,1,2,2,3,1,1,69.1,1
2,8.66,0.2,6,0,10,3,3,1,1,1,1,1,0,59.2,2
3,8.52,0.6,0,1,16,3,3,2,2,2,1,1,0,94.8,2
2,7.6,2.9,2,1,12,3,3,1,1,2,2,1,0,86.4,2
2,9.14,2.5,2,0,13,1,1,2,2,4,2,1,1,86.1,2
3,6.84,0.8,2,0,17,1,1,2,2,8,1,1,1,91.7,2
2,7.38,1.2,3,1,12,0,1,4,1,5,1,1,1,57.4,1
0,7.61,0.6,1,1,13,3,4,2,1,1,0,1,1,63.0,1
2,9.69,0.3,3,3,19,2,7,3,3,0,1,1,0,65.3,3
2,7.42,1.8,4,2,13,3,3,3,2,0,0,1,0,42.3,2
3,8.33,8.7,1,0,17,6,5,3,2,0,2,0,1,95.8,3
2,10.0,0.5,3,2,13,4,4,2,1,1,2,0,1,70.8,2
3,9.81,4.3,4,0,14,3,3,3,1,1,2,1,0,88.1,3
2,7.01,5.3,3,1,16,4,3,2,2,1,0,1,1,82.1,3
3,8.27,6.4,2,4,14,3,4,3,1,1,2,1,1,98.0,3
2,7.66,10.7,2,1,18,6,3,2,2,1,2,1,0,98.0,3
1,6.18,0.9,5,1,10,2,2,1,2,2,0,1,0,60.8,2
3,7.54,1.1,2,1,14,2,3,2,1,2,2,1,1,79.6,1
2,9.5,3.0,2,0,14,3,3,3,2,0,1,1,1,89.8,2
3,7.35,1.4,3,4,13,2,3,1,2,2,3,1,1,69.4,3
1,6.86,1.2,2,3,14,0,2,3,2,4,2,1,0,87.4,2
2,7.65,11.1,7,1,10,1,3,1,4,0,2,1,0,92.3,3
1,7.53,2.4,1,0,14,1,1,2,7,1,0,0,0,84.8,2
0,6.64,0.4,5,0,12,4,4,2,1,0,0,0,1,55.3,1
2,9.56,1.3,3,1,13,0,2,1,7,0,1,1,1,68.7,3
1,8.34,0.4,1,1,11,1,2,2,1,4,3,1,1,61.5,2
4,6.28,2.5,1,4,9,3,2,1,1,1,6,1,0,73.2,3
0,7.16,0.4,2,2,12,6,1,2,0,0,1,1,1,59.0,1
4,8.76,0.6,5,0,11,3,3,1,1,2,3,1,1,51.5,2
3,6.66,2.9,2,1,16,4,4,3,1,0,1,1,1,85.0,2
2,8.12,0.4,2,0,15,4,3,2,2,1,1,1,0,78.4,2
2,9.18,1.1,1,0,17,6,5,2,1,0,2,1,1,73.5,2
3,7.45,0.6,1,1,18,5,4,3,2,0,1,0,0,96.9,2
2,7.83,10.0,5,2,18,5,3,3,2,1,1,1,1,98.0,3
2,9.4,0.2,3,1,17,3,5,3,3,1,3,1,1,71.8,3
2,6.9,0.4,2,2,18,5,5,3,2,0,2,1,0,75.8,3
1,7.74,1.4,5,1,15,2,4,3,3,0,4,1,1,82.3,3
2,7.68,0.3,0,1,13,2,4,4,1,1,1,0,0,64.0,2
3,9.01,5.4,2,2,17,9,2,2,1,0,2,1,0,98.0,3
3,10.0,1.8,2,1,9,5,0,1,0,0,2,0,1,86.8,2
3,8.43,0.7,2,2,13,7,0,1,1,0,2,1,1,63.3,1
2,7.55,5.7,5,1,10,0,1,1,4,0,2,1,0,83.6,2
2,8.83,1.2,1,4,14,4,3,1,1,1,1,1,1,93.0,3
2,5.51,0.6,3,5,14,3,5,3,2,0,5,1,1,72.4,2
3,6.92,1.4,1,0,17,6,4,3,1,1,5,1,1,82.0,2
3,9.41,15.0,11,2,8,6,0,1,0,0,3,1,1,98.0,3
2,9.83,1.6,0,1,16,5,3,3,1,0,4,1,1,87.2,2
3,6.89,3.4,8,1,10,1,2,1,4,0,3,1,1,66.3,2
2,6.96,0.3,3,2,18,6,3,3,1,1,2,0,1,63.5,3
2,8.39,2.6,4,1,14,4,2,1,2,2,2,1,0,75.7,3
2,8.52,0.1,2,1,15,4,3,2,1,2,1,0,1,82.4,1
2,8.53,2.5,1,4,12,0,2,3,1,4,0,1,0,79.0,1
2,7.19,0.9,5,2,9,5,1,1,0,0,1,1,0,64.1,2
2,9.0,0.1,4,0,20,1,2,4,2,7,0,1,0,98.0,3
2,8.93,0.7,3,0,15,9,2,1,0,0,4,1,1,83.1,2
2,10.0,6.1,2,0,11,1,1,1,5,1,2,1,1,82.3,3
3,7.16,3.6,3,2,14,6,4,2,1,0,3,1,0,98.0,3
3,7.99,4.4,3,4,16,6,4,2,2,1,2,1,0,93.7,3
1,7.52,2.2,1,1,13,2,2,2,1,2,0,1,0,64.1,1
2,9.37,1.7,3,1,13,5,1,2,1,0,3,0,1,78.1,3
2,6.13,3.6,3,1,14,0,2,3,1,6,3,0,0,98.0,3
3,7.06,0.6,2,3,11,2,3,1,2,1,3,1,1,68.7,2
2,6.99,2.0,2,1,11,0,1,2,6,1,2,1,1,74.3,2
2,7.8,1.3,3,2,13,2,3,2,2,1,2,0,0,75.7,3
3,8.55,0.7,2,0,13,0,1,3,2,4,4,0,1,76.4,2
2,9.93,7.0,7,2,10,4,0,2,0,0,2,1,1,69.2,3
4,7.91,0.9,4,3,12,5,1,1,1,0,5,1,1,88.7,3
4,9.53,6.1,3,0,16,1,5,4,3,0,4,0,1,91.4,3
2,8.69,1.4,2,3,13,4,5,2,1,0,0,1,0,70.9,2
1,8.11,1.2,3,3,12,3,3,1,1,1,4,0,0,82.2,3
3,9.21,4.6,5,0,17,9,2,2,0,0,1,0,0,87.0,3
2,8.05,2.4,1,0,11,1,5,2,1,1,2,0,0,75.8,2
1,8.04,0.7,1,4,12,3,5,2,1,0,1,1,1,49.6,2
2,7.07,3.6,3,3,15,0,2,2,2,5,1,0,0,67.6,3
3,8.39,0.2,1,0,14,0,1,2,7,0,3,1,1,77.4,2
2,6.93,2.9,5,2,17,1,2,2,1,8,0,1,1,62.5,2
3,10.0,0.1,1,1,14,1,1,3,1,7,1,0,1,83.7,2
2,10.0,1.0,0,3,15,2,6,2,2,1,1,1,0,69.0,3
3,8.77,3.5,1,0,11,4,3,1,1,1,2,1,1,87.3,2
3,8.08,3.0,5,1,11,3,2,2,1,2,1,1,0,94.3,2
2,6.5,1.3,1,4,13,1,4,2,2,0,2,0,1,80.1,2
2,8.5,7.5,4,1,16,5,3,2,1,1,4,1,1,81.5,3
2,9.14,2.6,2,2,15,3,2,2,2,2,0,0,0,81.0,2
2,7.38,1.0,4,0,14,3,3,2,1,2,0,1,1,71.9,2
2,5.64,0.7,1,2,12,0,2,2,4,0,0,1,1,72.7,2
3,8.32,3.6,2,3,12,1,1,2,2,5,1,1,0,85.9,3
2,6.31,1.8,2,3,16,4,3,2,2,1,2,0,0,76.5,3
3,8.51,13.3,10,2,9,0,1,1,6,0,1,1,1,98.0,3
2,8.4,2.2,3,2,11,4,2,2,1,1,0,1,0,72.8,2
2,6.97,3.8,3,1,15,1,1,2,2,8,1,1,0,89.4,2
1,8.07,2.0,3,0,12,0,1,2,2,4,0,1,1,78.6,2
3,7.49,2.3,2,6,7,4,0,1,1,0,2,0,1,53.8,2
4,7.85,0.7,3,1,12,4,2,1,1,2,3,1,0,55.3,3
3,7.2,0.6,2,1,12,6,0,2,0,0,2,1,1,79.9,2
3,9.21,5.4,4,3,16,4,4,3,2,1,1,1,0,90.2,3
0,6.78,4.3,7,1,10,1,1,1,4,0,2,1,0,90.0,2
2,7.93,3.3,5,2,15,3,5,3,1,0,1,1,1,91.3,3
3,7.8,0.1,3,1,19,2,5,4,3,1,2,1,1,84.8,3
2,7.4,5.4,7,0,12,3,5,2,1,0,2,1,1,75.2,3
2,9.27,1.1,5,0,8,5,0,1,0,0,1,1,1,71.5,2
2,7.61,0.7,1,3,12,4,2,2,1,2,1,1,0,77.8,3
3,9.84,1.4,4,1,13,4,2,2,1,0,0,1,1,71.3,3
2,8.74,2.9,2,3,14,4,3,1,2,2,0,1,1,81.2,3
1,8.22,6.0,4,1,20,1,2,4,1,8,0,0,1,98.0,3
2,7.64,2.0,2,3,13,9,0,2,0,0,1,0,1,77.4,3
2,7.69,0.4,2,1,17,1,7,2,2,1,3,0,0,61.3,1
2,8.5,0.1,3,0,16,0,1,3,1,7,2,1,1,72.6,3
1,6.87,3.2,3,1,13,3,2,2,1,1,2,1,1,84.3,3
4,9.47,1.2,2,2,13,6,3,2,1,0,2,0,1,72.4,2
3,8.53,0.8,1,1,11,5,2,2,1,0,4,1,1,48.7,2
2,7.31,2.0,4,3,13,2,2,2,2,1,0,0,0,76.0,2
3,7.97,4.8,1,2,14,4,3,1,1,1,4,1,0,80.8,3
3,8.21,1.0,6,0,13,3,4,2,3,0,1,1,1,70.1,3
3,8.1,4.8,5,2,15,5,3,2,1,1,4,1,0,96.6,3
2,8.48,4.4,5,0,19,6,5,2,2,0,1,1,1,98.0,3
4,7.55,13.6,7,0,14,5,3,2,2,0,0,1,0,98.0,3
2,9.04,0.2,2,2,13,4,2,2,2,1,2,1,1,67.3,2
2,9.36,0.6,4,2,15,2,7,2,2,1,1,0,1,66.5,2
3,9.49,2.8,1,1,13,2,3,2,2,2,2,1,1,72.3,2
1,6.55,4.6,4,1,10,0,1,1,5,0,1,1,1,86.4,2
3,10.0,3.6,2,2,12,5,1,2,0,0,1,1,1,73.0,3
3,6.95,2.2,0,2,19,1,1,4,2,8,0,0,0,81.9,2
3,9.37,2.1,4,2,10,6,2,1,0,0,1,1,1,70.2,2
3,7.81,1.4,3,3,17,6,5,2,1,0,2,0,0,74.2,3
2,8.75,1.4,3,0,15,1,2,2,2,4,2,0,1,82.3,2
1,7.93,3.6,4,0,17,5,3,3,2,0,3,1,0,86.0,2
3,8.51,1.8,1,2,13,5,1,2,1,0,1,1,1,88.7,3
2,7.52,2.2,4,0,14,4,3,2,2,2,1,0,1,71.9,2
3,8.31,0.5,2,2,14,5,3,2,2,0,4,1,1,72.3,3
1,8.26,0.3,2,4,13,0,2,2,6,1,0,1,1,70.9,2
2,9.7,6.4,4,2,15,3,5,3,2,0,2,1,1,93.5,3
2,8.18,2.4,3,1,17,4,3,2,2,2,1,0,1,93.3,1
2,7.84,2.6,2,0,17,1,2,4,1,8,1,0,1,79.1,2
2,7.96,1.1,3,3,12,0,2,1,4,1,2,0,1,79.4,2
2,7.75,0.2,1,0,16,2,6,4,2,0,0,0,1,89.0,1
2,6.6,1.8,4,2,12,2,2,2,2,2,0,1,1,85.9,2
4,7.68,0.7,2,3,10,2,2,2,2,1,2,1,1,78.0,2
2,8.12,5.3,4,0,16,1,5,3,2,1,1,1,1,83.6,2
2,8.89,0.9,3,0,15,9,0,2,0,0,1,1,1,79.7,2
3,7.06,2.9,1,0,10,2,3,1,1,1,1,1,0,82.6,1
2,9.21,2.9,5,2,17,1,1,2,2,8,2,0,1,65.3,3
1,8.28,3.6,3,0,14,1,3,1,7,1,0,1,1,72.7,2
2,9.48,1.5,1,1,10,5,2,2,0,0,1,0,0,79.1,2
2,7.45,0.6,5,2,10,6,1,1,0,0,2,1,1,70.1,2
2,7.77,0.6,4,1,12,0,3,1,5,1,2,0,0,75.5,2
4,9.87,15.0,8,3,11,6,0,2,1,0,2,1,1,98.0,3
2,9.42,0.5,0,3,14,2,4,3,2,0,1,1,1,76.5,2
2,7.11,5.5,5,3,14,7,2,2,0,0,2,0,1,83.2,3
2,8.43,1.3,4,3,15,1,3,1,5,1,1,1,1,55.5,2
2,9.12,2.1,2,2,17,1,2,3,1,8,0,0,1,92.1,2
4,8.4,0.3,2,3,13,4,2,2,1,2,3,0,0,71.9,3
2,7.18,4.7,2,0,18,6,5,2,2,0,3,1,0,98.0,2
3,7.9,0.7,1,2,12,4,3,2,1,0,0,1,1,69.2,1
2,8.06,1.0,2,2,14,0,1,2,2,8,1,1,1,62.6,2
3,10.0,0.9,1,0,18,1,2,4,2,5,2,0,1,91.0,3
3,7.21,1.8,4,3,14,0,1,3,2,4,1,0,1,64.0,3
1,8.98,0.0,4,2,18,1,1,4,2,8,0,1,1,79.9,3
2,8.6,1.8,3,1,11,2,3,1,1,1,3,1,1,64.4,2
2,8.92,2.4,0,0,16,0,2,2,7,1,3,1,0,79.9,2
0,7.89,1.3,4,1,16,2,5,3,1,1,0,1,1,76.2,1
3,8.16,4.6,3,0,16,1,3,1,7,1,3,0,1,85.7,3
2,9.59,2.3,1,0,18,3,6,4,2,1,2,1,1,71.6,3
1,9.72,1.8,1,0,15,1,3,2,6,1,1,1,0,75.8,2
4,8.33,1.7,3,1,15,9,2,2,0,0,1,1,1,74.8,3
2,7.99,0.2,2,2,13,0,1,3,1,4,1,0,0,76.3,2
1,8.13,1.3,3,1,17,0,1,2,2,8,0,1,1,84.3,2
2,7.28,1.0,3,3,15,6,3,3,2,0,0,0,1,80.9,1
2,7.36,2.2,4,1,17,6,5,2,2,1,0,0,1,85.5,2
1,9.43,0.5,1,2,11,4,2,1,2,1,2,0,0,71.6,1
2,7.92,4.4,6,3,10,6,1,1,1,0,3,0,0,75.2,3
2,8.3,0.8,3,2,14,1,1,3,2,6,3,1,1,77.4,2
3,8.4,0.6,1,2,11,6,1,2,0,0,2,1,0,76.9,1
3,9.1,1.0,2,2,15,1,6,3,2,0,1,1,1,63.2,2
1,8.48,0.8,4,1,12,1,1,3,1,4,0,1,1,62.3,2
3,9.78,5.5,2,2,16,5,5,3,1,0,1,0,0,98.0,3
1,6.88,0.5,1,0,11,6,1,2,1,0,1,1,1,58.0,1
2,9.69,0.5,1,2,17,6,4,3,1,1,1,0,1,67.0,2
3,8.99,5.8,2,2,14,0,2,2,1,8,1,1,0,74.8,3
3,9.41,3.2,3,0,9,2,2,1,1,2,0,1,1,74.4,2
2,8.12,0.4,3,0,14,4,3,3,2,0,0,1,1,71.5,1
0,7.22,0.1,2,0,10,0,3,2,4,0,2,1,1,65.6,1
2,5.33,3.7,1,2,16,2,4,2,3,1,1,1,0,89.0,2
2,6.41,0.7,3,1,19,5,5,2,2,1,2,0,0,81.2,2
2,8.6,0.5,2,3,10,2,3,1,2,1,2,1,0,60.5,2
4,10.0,0.6,2,0,16,0,2,4,2,6,1,0,1,80.3,2
2,7.83,5.1,4,1,13,6,1,2,0,0,0,0,0,92.1,3
2,8.4,0.8,1,3,18,3,7,2,3,1,1,0,0,84.4,2
3,8.74,10.7,4,2,9,2,2,1,1,1,1,1,1,79.3,3
2,6.59,2.7,1,5,14,4,2,2,2,1,1,1,0,73.6,3
2,9.0,0.1,0,0,13,6,2,2,1,0,0,1,1,77.9,0
3,8.88,13.1,8,3,14,4,5,2,1,1,4,1,0,98.0,3
3,7.83,1.5,2,0,12,2,4,2,1,1,1,1,1,72.6,2
2,9.29,5.7,5,2,13,4,2,2,2,1,2,0,1,84.7,3
3,9.72,7.4,3,0,10,5,1,1,1,0,1,1,1,85.0,3
2,9.66,1.0,0,1,13,1,4,2,2,1,1,1,1,79.8,1
2,8.21,0.8,2,0,14,7,2,1,1,0,1,0,0,71.9,2
3,8.2,0.2,0,1,17,1,2,4,1,7,1,1,0,88.9,2
2,10.0,0.0,3,2,13,4,3,2,1,2,1,1,1,85.2,2
4,7.7,0.8,1,4,18,6,4,3,2,0,3,1,1,73.7,3
3,9.21,5.1,3,0,12,3,3,2,2,1,1,1,1,71.1,2
2,10.0,4.0,2,1,13,9,1,2,0,0,0,1,1,94.2,2
2,7.63,1.0,2,1,16,0,2,4,1,6,0,1,1,62.7,2
2,7.36,1.0,1,0,16,3,5,3,3,1,1,1,0,70.7,1
2,8.13,0.0,0,1,13,0,1,2,2,7,3,0,1,39.6,1
2,8.48,0.6,2,1,12,2,3,1,1,1,1,0,1,78.9,3
2,6.24,0.5,1,1,15,4,3,2,2,0,1,1,1,71.6,2
4,9.35,2.8,2,1,13,1,1,2,2,6,2,1,1,89.5,3
2,8.38,3.5,4,1,15,6,3,3,2,0,0,0,1,77.1,3
3,8.74,3.0,3,1,10,0,1,1,6,1,2,1,1,53.3,3
3,9.62,13.9,6,2,12,2,4,2,1,0,2,1,1,98.0,3
3,9.26,1.5,4,1,14,2,4,3,1,0,1,1,0,64.4,3
2,6.9,1.3,2,2,10,4,2,1,1,1,2,0,0,66.1,2
3,9.41,2.7,1,2,15,4,3,2,2,1,2,1,1,74.4,3
2,9.09,0.4,5,2,15,3,5,2,2,1,4,1,1,62.4,3
3,7.45,3.7,1,0,9,5,2,1,0,0,0,1,1,89.1,1
2,7.35,0.5,3,1,15,0,1,2,2,6,0,1,1,73.4,2
2,8.16,3.7,5,0,18,2,7,3,2,1,1,1,1,98.0,3
3,8.63,0.9,3,1,16,4,4,2,1,1,5,1,1,73.0,2
2,7.63,1.3,2,2,13,4,2,2,2,2,2,0,0,75.9,3
2,9.15,5.9,2,1,15,2,5,4,2,0,2,0,0,87.7,3
2,9.59,1.7,2,1,17,1,2,3,1,7,0,0,1,86.0,2
1,7.22,0.4,1,0,17,4,4,2,2,1,0,1,1,79.9,1
4,9.51,8.9,6,1,10,4,1,2,1,0,2,1,1,91.9,3
2,7.38,1.1,3,0,14,0,1,3,2,6,2,0,1,60.4,3
2,7.33,7.7,6,3,15,5,5,2,2,0,3,1,1,98.0,3
2,9.89,1.8,1,1,11,3,3,2,1,0,1,1,1,64.4,3
3,7.8,3.1,1,1,17,1,7,4,1,1,1,0,0,89.6,3
2,8.61,0.4,3,2,14,3,4,2,2,0,1,1,1,75.0,2
2,8.71,1.3,7,1,8,5,1,1,0,0,1,0,1,73.8,2
2,7.91,0.5,4,2,13,2,4,2,3,1,1,1,1,82.9,2
