education,cgpa,projects,internships,experience,skills_count,frontend_skills,backend_skills,database_skills,cloud_skills,ml_skills,has_github,has_linkedin,resume_length,certifications,achievements,ats_keywords,action_verbs,leadership,open_source,resume_score
2,9.37,2,0,1.5,12,4,3,3,1,0,1,1,469,0,1,12,4,0,0,85.1
3,8.55,2,0,0.7,19,6,5,3,1,1,1,1,344,1,0,14,1,0,0,88.8
0,7.99,0,0,1.6,16,3,6,2,2,0,1,0,436,2,2,15,3,0,1,87.1
3,9.17,5,2,0.4,12,2,3,2,2,1,0,1,575,2,1,11,6,0,0,98.0
2,7.06,6,1,5.8,9,0,2,2,4,0,1,1,726,1,3,14,11,1,0,98.0
3,9.61,4,1,3.8,16,5,5,3,1,0,0,1,605,1,2,24,5,1,1,98.0
4,9.69,9,4,11.5,14,1,2,4,1,5,1,1,927,1,1,24,12,0,1,98.0
2,5.39,4,1,2.6,11,1,1,2,2,4,1,0,500,0,1,16,6,0,0,90.1
4,9.92,6,2,1.8,15,4,4,3,2,1,1,1,569,3,0,15,3,0,0,98.0
2,7.44,6,0,11.8,16,3,7,3,1,0,0,1,894,2,2,18,15,1,1,98.0
3,7.79,6,1,6.6,14,1,2,2,4,1,1,1,736,3,3,20,8,0,0,98.0
2,8.61,4,0,2.8,13,3,3,1,1,2,1,0,616,0,0,19,6,0,1,98.0
2,9.6,4,1,0.3,14,3,3,1,2,1,1,1,556,2,4,19,4,0,0,98.0
2,5.9,2,2,4.0,11,2,2,1,2,1,0,1,462,2,0,13,8,0,0,92.0
2,7.68,1,1,0.2,15,1,1,2,7,1,1,1,437,0,1,16,1,0,1,79.0
2,9.25,2,3,1.4,13,0,1,3,1,6,0,1,545,0,1,12,7,0,1,98.0
2,7.63,4,2,1.0,12,2,3,1,1,1,1,0,646,4,1,18,5,0,1,98.0
3,7.19,4,3,2.7,17,2,5,4,2,0,1,1,596,1,0,15,5,0,0,98.0
3,9.78,4,2,4.4,12,0,2,1,6,1,1,1,722,2,2,12,10,0,0,98.0
1,7.06,3,1,1.0,15,5,3,2,1,0,1,1,478,2,0,13,3,0,0,88.0
3,7.66,4,3,1.4,12,9,1,1,0,0,0,1,467,0,2,12,5,1,0,98.0
3,8.85,3,0,1.8,19,6,4,3,2,0,0,1,514,2,3,24,7,0,1,98.0
3,9.51,3,2,0.7,9,2,2,2,1,1,1,0,625,2,4,12,4,0,1,98.0
2,6.66,2,1,3.0,12,6,1,2,1,0,1,1,584,1,1,18,9,0,0,91.1
3,8.99,1,0,9.3,15,1,1,2,2,6,1,0,817,1,1,17,9,0,0,98.0
3,6.83,1,0,1.0,11,1,1,2,1,4,1,0,434,3,0,13,5,0,0,80.7
2,7.64,5,3,5.9,14,3,5,2,1,1,1,1,640,0,1,19,6,1,0,98.0
2,6.55,2,2,1.5,20,6,5,2,2,1,0,1,400,2,2,14,2,0,0,98.0
2,6.74,3,1,0.1,12,8,0,1,0,0,1,1,497,0,1,17,1,0,0,75.4
2,6.69,7,3,12.2,13,4,3,3,1,0,1,1,888,2,4,15,12,0,0,98.0
3,7.73,1,3,0.3,12,2,2,2,1,2,1,1,558,1,1,13,2,1,1,92.6
2,8.15,2,1,0.9,14,1,1,4,1,6,0,1,528,2,0,14,3,0,1,89.4
2,6.57,2,2,2.4,15,6,4,3,1,0,0,1,634,1,0,19,4,1,0,93.4
2,8.07,1,1,1.5,15,6,4,3,1,0,1,1,537,3,1,16,5,0,0,98.0
3,9.7,1,3,0.2,11,6,0,1,0,0,1,1,600,2,4,17,0,0,1,98.0
2,7.96,4,1,5.7,10,4,1,1,1,0,0,1,817,3,2,21,6,0,0,98.0
3,7.92,5,2,0.7,18,6,4,3,2,0,0,1,544,3,0,18,3,0,0,98.0
3,8.42,3,4,2.3,14,6,3,3,1,0,1,1,606,3,1,18,9,0,0,98.0
3,9.17,3,3,4.2,15,9,0,2,1,0,1,1,725,2,2,17,5,0,0,98.0
3,9.36,2,0,0.9,16,4,4,3,1,0,1,1,482,1,0,13,7,0,0,96.3
2,9.96,2,1,3.9,14,0,2,2,2,5,1,1,520,2,2,20,6,0,1,98.0
2,9.49,0,2,0.4,14,1,1,2,5,1,1,0,490,0,0,15,2,0,0,76.9
2,9.01,1,1,1.5,12,5,2,1,0,0,1,0,450,0,0,15,8,1,0,88.9
3,8.02,3,1,2.9,11,3,3,2,1,0,0,1,618,2,1,13,6,0,0,98.0
3,7.3,1,3,3.3,16,1,3,2,6,1,0,1,551,1,2,18,6,0,0,98.0
4,7.14,0,0,5.2,16,6,3,3,2,0,1,1,540,1,1,17,10,1,0,98.0
2,5.34,2,1,2.0,15,6,3,2,2,1,0,0,635,4,1,16,6,1,0,97.2
1,7.03,2,1,0.1,18,2,5,3,3,1,0,0,386,0,2,20,3,1,0,85.1
2,8.35,3,2,0.5,15,8,1,2,0,0,1,1,558,0,2,15,3,0,1,97.5
3,8.21,4,3,1.6,19,2,7,3,2,1,1,1,682,1,1,17,6,0,0,98.0
2,10.0,2,0,1.9,8,4,1,1,1,0,1,1,622,1,0,15,8,0,1,92.3
3,8.23,4,2,0.1,11,8,0,2,0,0,1,0,443,1,0,13,3,0,0,89.6
2,7.74,3,2,3.9,12,3,2,1,2,2,0,1,586,2,2,23,5,0,0,98.0
2,8.88,1,0,1.4,10,1,4,2,1,1,1,1,510,2,0,16,2,0,0,75.6
3,6.82,2,1,5.2,16,3,4,4,2,1,1,1,717,1,3,22,6,0,0,98.0
2,8.41,1,0,1.7,14,2,6,2,2,0,0,0,565,2,2,18,5,0,1,89.4
2,7.8,3,1,0.2,17,0,1,4,2,6,1,1,602,0,0,20,10,1,0,98.0
2,8.53,0,2,1.2,16,8,1,2,1,0,0,1,421,1,2,17,2,1,0,89.7
2,8.66,6,2,0.3,13,6,3,2,1,0,1,0,555,2,0,10,2,0,0,98.0
1,5.98,5,2,1.2,15,6,3,2,1,1,1,0,606,2,1,17,3,0,0,98.0
1,8.18,3,0,1.3,14,0,3,1,7,0,1,0,546,3,2,19,4,0,1,98.0
2,9.1,1,2,2.5,16,1,2,3,1,7,1,1,660,1,1,17,8,1,1,98.0
3,8.87,4,1,6.5,17,6,5,3,2,0,1,1,763,0,2,18,10,0,1,98.0
2,9.34,2,1,5.0,13,0,1,2,1,8,1,1,571,2,2,18,5,0,0,98.0
3,9.46,2,1,0.5,11,0,1,2,1,4,1,0,725,4,2,14,2,0,0,94.1
3,7.21,1,4,3.4,15,3,4,2,1,1,1,1,751,1,1,15,6,1,0,98.0
3,8.62,6,0,1.6,20,6,5,3,2,0,0,1,511,3,0,21,6,0,0,98.0
2,7.47,3,1,6.0,13,2,2,1,2,2,1,1,554,1,2,16,5,1,0,98.0
2,9.34,4,4,0.6,14,1,5,4,3,0,0,1,482,1,3,21,5,0,0,98.0
3,9.03,5,1,2.9,15,0,1,4,2,7,0,1,549,2,2,16,8,0,0,98.0
2,6.68,5,0,0.1,15,4,3,2,1,2,1,0,531,0,0,17,5,0,0,88.1
4,8.58,3,6,1.7,14,1,2,1,6,0,0,1,672,1,2,16,12,0,0,98.0
1,6.1,5,2,1.9,9,2,2,1,2,1,1,1,573,0,1,7,8,0,0,91.2
3,7.29,5,1,5.6,17,1,2,3,1,6,1,0,645,1,3,19,2,1,1,98.0
3,9.35,1,2,2.3,16,1,4,4,3,1,1,1,362,3,3,15,5,0,0,98.0
3,7.94,1,2,2.3,14,2,4,2,3,1,1,1,550,0,3,17,5,1,1,98.0
1,7.53,2,0,0.3,14,9,1,2,1,0,0,1,516,3,0,16,3,0,0,79.4
2,8.55,3,3,3.1,14,4,2,2,2,1,0,1,513,3,2,13,5,0,0,98.0
2,9.35,2,1,1.0,15,5,4,2,1,1,1,0,398,3,1,15,3,0,0,94.5
4,8.78,3,2,0.4,15,1,6,3,2,1,1,1,512,2,2,13,6,0,0,98.0
2,6.45,1,2,0.0,12,2,2,2,2,2,1,1,483,3,1,16,6,0,1,86.8
3,10.0,1,4,1.2,10,2,2,1,1,2,0,1,529,1,0,12,3,1,1,96.0
2,8.78,3,3,2.8,15,0,1,4,2,6,1,0,712,2,2,16,9,0,1,98.0
2,9.82,1,1,2.6,15,3,3,3,2,1,1,1,508,1,0,21,7,0,0,98.0
2,7.77,2,1,0.9,12,2,2,1,2,2,0,1,468,1,2,17,0,0,0,81.6
3,9.25,4,0,5.9,14,0,2,4,1,4,1,1,715,1,0,23,7,1,1,98.0
2,6.68,1,0,0.1,11,4,2,1,1,1,0,1,520,2,0,20,6,1,0,74.1
3,10.0,2,5,1.7,10,4,2,1,1,1,1,1,568,4,0,15,5,0,0,98.0
2,7.77,1,1,1.3,17,9,2,1,1,0,0,1,508,4,1,14,4,0,0,92.4
2,9.56,2,3,0.1,8,4,0,2,1,0,1,1,583,0,0,14,2,0,0,84.4
2,7.61,5,2,2.3,12,0,2,2,1,5,0,1,563,3,1,14,6,0,0,98.0
2,8.83,3,1,1.9,14,0,3,1,5,1,0,0,534,1,2,14,7,0,0,98.0
2,9.83,1,6,1.4,15,0,1,4,1,8,1,1,520,2,0,12,6,1,0,98.0
0,8.13,7,0,2.7,13,0,1,2,7,0,0,0,700,0,4,9,4,0,0,98.0
2,8.66,4,0,0.5,17,1,1,4,2,7,1,1,532,1,0,18,7,0,0,98.0
2,10.0,3,1,0.4,15,8,1,2,0,0,0,1,588,3,2,20,3,0,0,98.0
2,7.75,3,2,1.4,18,3,7,3,2,1,1,1,482,2,0,19,2,1,1,98.0
2,9.19,4,2,0.9,14,4,3,2,2,2,1,0,470,0,0,12,4,0,0,98.0
3,7.54,4,0,0.6,14,8,0,2,0,0,1,1,437,3,1,14,6,0,0,97.0
2,8.44,5,1,7.6,15,1,1,3,2,7,1,1,813,3,0,18,12,1,1,98.0
2,8.5,2,1,0.5,13,1,4,4,2,1,0,0,542,0,1,14,2,0,1,80.4
2,7.43,4,3,6.0,13,4,4,2,1,0,1,1,902,3,0,18,4,0,1,98.0
0,5.95,1,1,0.1,15,1,6,3,2,0,1,1,448,0,0,16,4,0,0,69.8
2,7.28,1,1,0.2,18,3,6,4,1,1,1,1,586,1,1,22,8,0,0,92.4
2,7.44,2,4,0.4,18,3,4,4,3,1,0,1,572,1,1,19,5,0,0,98.0
1,8.5,2,2,0.0,13,4,3,1,2,1,1,1,423,1,1,8,3,0,0,80.4
2,9.01,7,1,1.1,10,2,3,1,2,1,1,1,631,2,2,14,9,1,1,98.0
3,8.98,5,0,5.1,10,0,2,2,1,4,1,1,724,0,2,16,8,1,0,98.0
2,8.23,1,2,0.5,14,2,4,3,2,0,1,1,551,1,0,15,4,0,0,85.0
1,7.09,2,1,1.9,15,6,3,2,1,0,0,1,563,1,0,21,6,1,0,87.7
2,8.2,1,2,3.1,13,4,3,2,1,1,1,1,441,0,1,14,9,0,0,97.2
2,7.73,2,1,1.4,11,4,2,2,1,1,0,1,474,3,1,12,8,0,0,89.9
2,6.33,0,2,0.6,14,2,3,2,1,2,1,0,418,2,1,13,2,1,1,78.6
2,7.21,0,1,0.8,14,5,4,2,1,0,0,0,386,2,0,12,4,0,0,69.8
1,6.4,1,0,0.2,18,6,3,3,1,1,1,1,480,1,0,20,1,0,0,73.3
2,9.87,1,2,2.0,14,0,2,2,7,1,1,1,655,0,1,13,3,0,1,98.0
2,8.62,3,1,4.3,10,5,0,2,0,0,1,1,716,2,3,21,5,0,0,98.0
2,8.14,1,2,0.8,14,5,3,2,2,0,0,1,436,1,1,15,2,1,0,86.2
3,9.56,2,0,3.2,11,0,1,2,5,1,1,1,484,0,0,18,7,0,0,97.7
3,9.51,5,0,2.0,15,4,4,2,2,1,0,0,620,5,3,16,5,0,0,98.0
1,7.24,3,3,2.3,17,5,5,3,2,0,1,1,573,1,0,17,5,0,0,98.0
1,10.0,3,0,1.6,18,5,5,2,1,1,1,1,400,1,1,16,8,0,0,98.0
2,8.29,3,3,0.7,15,3,4,2,1,1,1,1,451,1,0,17,6,0,0,98.0
0,7.46,3,1,0.5,20,3,7,4,2,0,1,0,469,2,3,21,4,0,0,98.0
2,8.92,4,0,3.9,16,3,5,2,3,1,1,1,478,0,2,15,11,0,1,98.0
2,8.23,3,0,1.6,14,4,3,3,1,1,1,1,496,0,0,15,5,0,0,85.7
1,8.86,2,1,0.9,16,2,6,3,2,1,1,1,530,1,1,21,1,0,0,93.8
2,7.61,1,0,1.0,18,0,1,3,2,8,1,1,481,1,0,19,5,0,0,88.6
3,9.67,6,2,3.0,14,8,1,1,1,0,1,1,677,0,1,14,5,0,1,98.0
2,5.6,2,0,1.2,16,8,2,2,0,0,1,1,314,1,1,20,6,0,1,86.6
1,8.91,1,0,0.1,17,0,1,4,2,6,1,1,546,0,0,16,5,0,0,79.6
1,7.23,5,0,0.4,15,5,5,2,1,0,0,0,521,2,1,11,3,0,0,92.5
3,7.6,4,2,1.6,14,3,5,2,2,1,0,1,611,2,1,20,8,1,0,98.0
2,9.69,0,2,3.4,9,1,4,2,1,0,0,1,463,1,2,14,6,1,0,95.3
0,8.14,1,1,0.3,14,3,5,3,1,1,1,0,488,2,1,16,4,0,1,82.3
2,7.46,3,0,0.9,12,5,1,2,0,0,1,1,635,2,0,9,2,0,0,78.7
2,8.28,0,1,4.2,12,6,2,2,1,0,1,1,587,1,0,10,5,0,1,95.8
3,8.54,2,2,2.9,12,3,4,2,2,0,1,1,511,0,0,19,8,0,1,98.0
2,8.58,2,1,1.0,17,1,3,2,7,0,1,1,562,4,0,15,6,1,0,98.0
2,7.31,1,1,0.2,18,0,2,4,2,6,1,0,415,3,2,17,5,0,0,95.3
2,7.87,7,1,3.9,16,1,2,3,1,6,0,1,552,3,4,14,7,1,0,98.0
2,7.97,4,4,1.6,16,3,5,2,3,1,1,0,641,1,0,16,2,1,0,98.0
3,7.69,0,3,0.4,14,4,5,2,1,1,0,1,503,0,1,14,3,0,0,84.3
2,7.49,1,3,4.9,13,3,3,2,1,2,1,0,637,3,0,11,8,1,0,98.0
1,7.18,5,2,1.2,13,0,2,3,1,6,1,0,486,0,2,14,5,0,1,98.0
3,8.47,4,1,7.2,17,5,5,3,2,1,1,1,665,1,2,25,8,0,0,98.0
2,8.13,5,2,4.4,13,1,3,2,6,0,1,1,832,2,2,15,6,1,1,98.0
2,9.77,2,1,1.1,15,8,2,1,0,0,1,1,493,1,1,15,3,1,0,97.7
0,6.44,3,1,0.6,14,3,2,1,2,2,1,1,524,0,1,15,4,0,0,79.7
2,7.75,1,2,0.6,14,1,1,4,2,4,1,1,344,6,1,13,3,1,1,98.0
2,7.07,3,2,2.4,15,5,3,3,1,1,0,1,774,4,1,12,3,0,1,98.0
3,8.83,4,2,2.0,13,7,2,2,1,0,1,1,557,1,2,18,3,0,0,98.0
2,7.52,3,4,0.1,13,1,5,3,1,0,1,1,464,2,0,15,4,0,0,96.2
2,9.55,4,1,2.7,14,2,3,2,1,2,1,1,452,3,1,18,2,0,1,98.0
2,7.99,3,1,0.2,9,4,1,1,1,0,0,1,652,3,1,13,7,0,0,87.6
2,7.26,5,3,4.9,13,3,3,3,2,0,1,1,632,2,3,19,6,0,0,98.0
2,8.0,1,2,2.3,16,1,1,4,1,8,1,1,570,1,2,12,4,0,1,98.0
2,7.56,5,4,7.2,16,6,4,2,2,1,1,1,749,1,4,21,9,1,0,98.0
3,9.05,1,3,0.2,10,3,3,1,1,1,0,0,540,2,1,11,3,0,0,82.7
2,7.13,3,1,2.7,14,5,4,3,1,0,1,1,594,2,2,20,9,0,0,98.0
2,9.72,3,0,2.9,14,1,3,2,6,1,1,0,584,1,2,12,7,0,0,98.0
0,7.06,1,1,0.9,19,6,5,2,2,0,0,1,487,0,0,18,4,0,0,75.9
2,7.13,4,4,2.4,14,3,3,1,2,1,1,1,614,5,2,21,5,0,1,98.0
2,7.51,5,3,6.9,12,3,2,1,1,1,1,1,715,1,1,16,10,1,0,98.0
0,7.68,2,1,2.4,16,9,2,2,1,0,0,1,394,3,0,17,7,0,1,98.0
3,6.83,3,3,0.4,17,3,6,2,2,0,0,1,528,0,2,17,8,0,0,98.0
0,7.15,0,2,1.0,16,5,4,3,2,0,1,0,563,1,0,11,4,0,0,76.8
2,7.61,1,1,3.6,11,4,2,1,2,1,1,1,581,4,1,10,3,0,0,93.3
2,7.5,4,2,1.5,11,1,1,1,6,1,1,1,647,0,2,14,4,0,0,98.0
1,6.95,2,0,1.2,16,4,4,3,2,1,1,1,525,1,1,14,4,0,1,90.6
2,8.29,4,0,1.7,13,0,3,2,5,0,1,1,509,1,1,15,6,0,0,98.0
2,6.86,3,0,3.9,16,4,4,3,1,1,1,0,864,1,2,21,9,0,0,98.0
3,9.07,6,0,1.2,16,5,5,3,1,1,1,1,593,6,0,16,6,0,0,98.0
2,7.29,4,3,0.1,12,2,3,1,2,1,1,1,453,2,0,14,0,0,0,89.0
2,8.42,3,0,0.8,12,3,4,2,1,1,1,0,587,0,2,16,4,0,1,89.8
4,8.63,3,0,0.8,20,6,5,3,1,1,1,1,468,4,2,20,4,0,0,98.0
2,6.77,2,1,2.0,12,2,2,1,2,2,0,1,593,0,1,19,3,0,0,82.9
2,9.57,5,5,0.1,10,0,1,1,6,0,1,1,415,4,2,7,3,0,0,98.0
3,9.27,2,2,0.1,15,4,4,3,2,0,0,1,415,3,3,14,4,0,0,98.0
1,6.95,2,2,0.6,15,3,5,3,1,0,1,1,566,2,2,16,7,1,0,96.8
2,8.09,6,1,4.2,13,9,1,1,0,0,1,1,708,1,0,15,9,0,1,98.0
2,10.0,2,1,0.0,13,3,3,2,2,1,0,0,366,3,0,12,1,0,0,86.8
2,8.91,4,1,4.0,15,3,3,2,2,1,1,1,660,0,1,14,11,0,1,98.0
3,7.24,2,3,3.7,6,4,0,1,0,0,0,0,683,1,1,17,8,1,0,98.0
2,6.66,3,0,0.0,14,0,2,3,1,6,0,1,471,0,1,18,2,0,0,76.0
3,8.99,2,3,2.0,9,3,2,1,1,1,1,1,741,1,1,17,7,0,0,98.0
0,5.47,0,1,1.0,10,1,1,1,6,0,1,0,648,1,1,14,3,0,0,55.7
3,8.53,2,3,0.4,13,7,0,2,1,0,1,1,596,1,0,12,5,1,0,98.0
2,7.9,2,3,0.4,11,3,2,2,2,1,1,1,419,3,0,21,3,0,0,86.8
1,7.63,2,1,0.5,12,6,1,2,1,0,1,1,497,0,0,15,7,1,0,82.3
0,8.93,2,0,0.6,14,3,3,2,1,2,0,1,474,1,0,12,4,1,0,81.6
3,8.64,4,1,2.4,12,6,2,1,0,0,0,1,555,2,1,16,7,0,0,98.0
1,7.91,2,1,1.3,11,5,2,1,0,0,1,1,623,0,0,16,6,1,0,83.8
2,7.27,2,1,1.2,9,4,2,1,1,0,0,1,733,0,0,16,6,1,1,79.8
4,8.02,1,4,0.5,16,1,6,4,3,0,1,1,562,3,4,16,0,0,1,98.0
2,9.33,1,0,4.1,14,3,3,2,2,1,1,1,399,1,1,17,10,1,1,98.0
3,5.74,1,0,0.6,17,0,1,4,2,6,1,1,488,0,4,12,4,0,0,85.9
3,8.11,8,2,3.3,13,4,3,2,2,1,1,1,622,3,1,19,4,0,0,98.0
0,8.73,4,0,2.8,13,1,1,2,2,6,1,1,480,1,1,18,7,1,0,98.0
2,7.39,0,3,0.2,14,7,2,2,0,0,1,1,583,0,1,17,5,0,0,81.7
2,8.26,1,1,0.2,15,0,1,4,2,4,0,1,507,0,2,17,7,0,1,90.6
3,9.76,5,2,4.0,16,4,4,2,2,1,0,1,782,4,1,18,5,1,0,98.0
1,8.5,4,1,3.0,13,8,1,2,1,0,1,1,592,4,1,10,6,1,0,98.0
2,7.68,5,2,8.7,12,0,1,3,2,5,1,1,749,6,2,18,8,0,0,98.0
2,8.75,3,1,1.2,12,2,3,2,1,1,1,0,545,0,0,13,4,1,0,90.3
3,8.5,1,3,3.4,10,3,2,1,1,1,1,1,526,0,1,16,5,0,0,98.0
3,8.28,3,3,3.3,11,4,2,2,1,0,1,1,592,2,2,12,5,0,1,98.0
2,7.1,2,0,1.2,15,2,3,2,2,2,1,1,605,2,1,16,3,1,0,92.1
2,7.21,2,1,4.8,15,0,1,2,1,7,0,1,512,0,0,20,7,1,0,98.0
0,8.31,2,1,0.2,13,8,1,2,0,0,0,0,466,0,1,14,4,0,0,76.1
1,10.0,2,2,0.6,13,3,4,3,1,0,1,1,437,1,0,16,9,1,1,98.0
2,9.77,3,3,4.1,18,1,1,4,2,7,1,1,718,0,0,19,7,1,0,98.0
2,6.5,3,1,2.9,15,4,5,2,2,0,1,1,534,0,0,15,3,0,0,89.6
2,7.28,2,0,1.0,17,9,2,2,1,0,1,1,498,1,0,20,4,1,0,93.9
2,8.32,0,0,7.2,12,2,3,1,1,2,0,1,570,2,2,12,10,1,1,98.0
2,7.92,4,3,15.0,15,3,3,2,1,2,1,1,843,3,2,21,15,0,0,98.0
3,8.57,3,2,5.2,10,4,1,1,1,0,1,1,758,6,0,16,7,0,0,98.0
3,7.73,6,1,2.7,13,3,2,1,1,2,0,1,581,2,3,15,8,0,0,98.0
2,7.89,2,3,1.2,15,6,4,2,1,0,1,1,615,2,0,14,1,0,0,93.0
2,7.14,2,0,0.5,15,7,2,2,1,0,0,1,426,3,0,14,6,0,1,86.3
2,6.64,0,1,0.6,7,4,0,2,0,0,1,1,434,1,0,9,3,0,0,54.9
3,10.0,1,1,0.1,16,6,3,2,2,1,1,1,390,2,2,15,4,0,1,98.0
2,7.57,1,2,0.6,11,7,1,2,0,0,1,1,518,1,3,15,5,0,0,90.4
3,9.41,1,1,1.0,13,1,2,2,2,4,1,1,459,4,2,18,6,1,0,98.0
2,9.55,2,1,1.2,12,4,2,2,1,0,1,0,446,1,0,15,8,0,0,91.5
2,9.4,2,1,0.1,14,0,1,4,2,5,1,1,583,2,1,16,3,0,0,91.8
3,6.56,5,2,0.4,15,0,2,3,2,6,1,1,312,2,1,21,6,0,0,98.0
2,7.38,1,2,1.7,14,7,0,2,1,0,1,1,432,2,1,12,4,0,0,86.5
2,7.86,2,1,2.9,13,0,3,1,4,1,0,1,562,0,1,12,6,0,0,93.1
3,10.0,3,3,0.0,12,4,2,1,1,0,1,1,616,0,2,15,4,0,0,98.0
2,7.49,2,2,2.5,17,1,6,4,3,0,1,1,690,3,2,17,2,0,0,98.0
2,7.83,5,0,6.1,14,4,4,2,2,0,0,1,713,2,4,19,9,1,1,98.0
1,7.83,7,1,7.3,14,1,1,1,6,1,1,1,787,0,3,23,11,0,1,98.0
2,6.55,4,2,1.0,10,2,2,1,2,1,1,1,537,0,1,14,3,0,0,89.5
2,8.17,7,3,4.4,16,4,4,2,2,0,1,1,804,1,0,17,11,0,1,98.0
2,7.78,3,2,0.0,17,1,1,4,2,6,0,1,483,2,0,15,4,0,0,92.4
2,9.63,2,0,3.8,10,2,3,1,2,1,0,1,687,1,1,16,5,1,0,98.0
2,8.14,2,1,1.8,12,3,5,2,1,0,1,0,565,1,1,18,8,1,1,98.0
2,9.73,1,1,4.2,18,1,1,3,2,8,1,1,628,1,1,14,6,0,0,98.0
2,8.52,2,1,0.2,17,6,5,2,2,0,0,1,469,0,0,11,2,0,1,84.4
2,6.74,3,1,3.1,16,3,4,2,3,0,0,0,701,3,0,17,8,0,0,98.0
2,8.97,1,3,1.0,15,3,5,2,2,1,0,1,422,7,0,18,5,0,0,98.0
4,8.87,7,1,12.5,14,3,2,2,2,1,1,1,759,5,4,19,11,0,1,98.0
0,4.44,5,2,0.3,18,2,7,4,3,0,1,1,735,1,0,15,6,0,0,95.2
1,7.8,3,1,4.5,12,5,1,2,0,0,1,0,789,2,0,16,5,0,0,98.0
1,9.55,3,1,0.4,10,4,1,1,0,0,1,0,566,5,0,12,3,0,1,93.9
3,7.77,3,1,3.9,13,0,1,3,2,6,1,1,648,2,0,10,5,0,1,98.0
2,7.21,2,0,0.6,15,8,2,1,0,0,0,1,684,0,2,14,1,0,0,76.6
3,9.58,6,0,2.5,14,4,3,1,1,2,1,0,589,2,1,15,7,0,0,98.0
2,9.84,4,0,1.1,14,9,1,1,0,0,1,1,427,1,0,14,3,0,1,98.0
2,8.85,3,0,0.1,12,2,3,2,2,1,1,1,522,2,1,11,0,1,1,94.7
3,8.17,5,0,2.2,11,0,2,2,1,4,1,1,640,2,1,12,5,0,0,98.0
0,7.48,1,1,0.6,17,2,6,4,1,0,0,1,542,0,0,18,5,0,1,79.3
2,7.18,4,1,1.8,15,0,3,2,7,0,1,1,476,1,1,15,3,0,0,98.0
2,8.04,3,0,4.3,16,3,5,2,2,1,1,1,579,1,0,13,9,0,1,98.0
0,6.13,0,2,2.7,15,4,4,3,1,1,1,1,609,0,1,17,2,0,1,80.0
2,7.83,3,2,1.7,16,1,6,2,3,0,1,0,670,0,3,19,8,0,0,98.0
