skills_count,experience,projects,education,ats_keywords,action_verbs,resume_length,has_contact,has_sections,formatting_score,frontend_skills,backend_skills,database_skills,cloud_skills,ml_skills,ats_pass
17,1.3,0,3,20,5,393,1,1,7.4,5,5,3,1,0,1
11,0.7,1,2,19,1,367,1,0,4.5,1,4,4,1,0,0
14,0.3,3,2,14,5,417,1,1,4.8,4,4,3,2,0,1
6,5.1,7,2,11,7,549,1,1,8.1,4,0,1,0,0,1
10,0.3,3,0,14,2,462,1,0,6.7,6,1,1,1,0,1
15,2.7,2,3,15,4,447,1,1,8.1,6,4,2,1,0,1
12,2.8,4,3,11,6,488,1,0,7.2,1,1,3,1,5,1
17,5.2,6,2,13,11,562,1,1,8.1,2,6,3,2,1,0
11,0.7,3,2,8,5,405,1,1,4.3,7,1,1,0,0,0
14,5.0,4,2,18,6,594,1,0,8.9,1,1,3,1,5,1
13,2.2,3,1,7,4,590,1,0,9.5,4,2,1,1,1,0
11,1.0,0,2,8,5,419,1,1,9.0,5,1,2,0,0,1
12,0.3,0,2,19,5,394,1,1,8.7,2,3,1,2,2,1
11,1.9,3,3,10,4,605,1,1,7.9,2,2,1,2,1,0
14,2.5,3,2,14,4,580,0,1,5.3,0,3,2,4,1,1
17,1.4,1,2,11,3,482,1,1,5.0,6,3,2,2,1,0
13,1.4,2,3,13,6,379,1,0,7.9,1,1,3,1,6,1
10,1.3,5,2,11,4,519,1,1,6.4,3,3,1,1,1,1
16,0.7,2,2,14,5,407,1,1,6.1,4,3,1,2,2,1
13,0.4,2,2,11,2,572,1,1,8.5,3,3,2,2,0,0
10,1.2,4,2,10,3,631,1,1,9.6,6,1,1,0,0,0
15,2.5,2,2,14,5,468,1,1,8.3,6,3,3,2,0,0
19,3.1,0,2,11,6,515,1,1,8.6,6,5,3,1,0,1
15,0.5,2,2,13,6,403,1,0,6.9,3,5,4,1,0,1
12,0.1,2,2,12,3,362,1,1,7.4,4,3,1,1,1,1
12,0.9,2,2,11,8,537,1,1,6.8,2,3,2,2,2,0
10,3.1,3,1,8,6,595,1,1,7.1,5,0,2,0,0,1
15,1.1,0,0,22,3,547,1,0,7.2,8,2,1,1,0,1
15,1.3,1,4,14,4,514,1,0,9.0,3,4,3,2,1,0
16,0.3,3,2,17,4,472,1,1,4.9,3,4,3,2,0,1
10,1.1,1,2,11,5,384,1,1,5.5,4,1,1,1,0,0
17,0.1,1,2,17,3,522,1,1,8.1,3,5,3,1,1,1
14,1.5,2,3,13,5,496,0,1,9.0,0,1,3,2,6,0
15,1.3,3,2,14,6,587,1,1,6.4,6,4,2,1,1,1
15,0.1,1,2,13,1,413,1,1,7.0,1,7,2,3,1,0
11,0.7,1,0,14,5,484,1,1,6.5,0,2,1,6,1,1
16,0.7,1,4,8,2,549,1,1,7.6,3,4,2,3,0,1
14,0.3,2,2,12,6,512,0,1,5.5,1,5,3,1,1,0
12,0.3,0,3,16,6,478,1,1,8.4,5,3,2,1,0,1
13,2.5,5,2,12,4,474,0,1,6.9,7,0,2,1,0,0
16,1.0,1,1,13,5,357,1,1,5.2,3,6,3,1,1,0
15,0.1,2,4,10,2,403,1,1,7.7,5,3,3,2,0,0
15,4.3,4,2,9,6,602,1,1,5.1,2,5,3,1,0,1
12,0.0,1,2,8,3,406,0,1,8.7,8,1,2,0,0,0
16,2.8,5,2,12,8,516,1,1,7.5,6,4,3,1,0,1
11,4.7,2,2,14,8,534,1,1,8.5,3,3,1,2,1,1
10,0.5,2,2,7,7,471,1,1,8.4,2,3,1,1,1,1
18,2.4,3,2,15,0,490,0,1,8.7,1,2,4,1,7,0
11,0.6,2,4,13,1,444,1,1,9.0,1,1,1,6,1,0
10,3.5,3,3,13,9,454,1,1,7.9,0,2,2,5,0,0
15,2.3,1,2,17,4,443,0,1,8.3,5,4,2,2,1,1
13,3.0,1,3,12,2,640,1,1,8.7,4,4,2,1,0,1
20,0.5,2,4,17,7,503,1,1,4.1,6,5,3,1,1,0
13,0.1,2,2,17,5,441,1,1,6.8,2,4,2,1,0,0
15,0.3,1,3,14,4,519,1,1,8.2,1,1,2,2,5,1
18,0.4,1,2,19,6,459,1,1,7.5,6,4,3,1,0,0
14,2.4,3,1,16,5,512,1,1,6.6,5,3,2,2,1,1
15,1.3,3,2,15,4,443,1,1,5.6,3,4,3,1,1,1
13,0.9,2,2,13,4,489,0,1,9.5,3,2,2,2,2,1
8,7.2,2,3,13,6,750,1,0,6.9,5,0,1,0,0,0
13,0.5,2,1,17,3,433,1,1,8.2,3,3,3,2,1,0
16,2.9,2,2,17,9,471,1,1,5.8,1,2,3,2,4,1
17,1.5,2,2,9,6,518,1,1,7.9,1,6,4,2,0,1
19,3.2,7,1,14,6,683,1,1,5.6,3,7,2,3,0,1
16,0.6,1,3,14,5,366,1,1,8.7,2,4,4,2,0,0
13,1.4,1,2,12,1,513,0,1,4.6,0,2,1,7,1,0
21,1.9,2,3,14,6,447,1,1,8.6,1,2,4,2,8,1
13,1.7,2,2,11,4,541,1,1,4.8,2,3,2,1,2,0
15,0.4,4,3,11,0,594,1,1,4.4,0,2,4,1,5,1
17,1.2,3,2,14,6,433,1,1,4.1,0,2,3,1,7,0
16,4.5,4,3,14,9,647,1,0,9.2,1,1,3,1,8,0
14,2.4,2,4,12,4,492,1,1,7.0,4,4,2,2,1,1
14,4.7,1,2,18,6,659,1,1,7.5,3,4,3,1,1,1
15,2.5,2,2,16,6,558,1,1,6.3,4,5,2,1,0,1
13,1.1,3,2,16,11,313,1,1,9.1,4,2,1,2,1,1
16,0.8,1,2,10,1,534,1,0,8.7,7,2,2,1,0,0
12,0.7,2,2,13,5,512,1,1,5.8,7,1,1,0,0,0
19,3.0,1,2,15,6,479,0,0,8.7,2,7,4,3,1,1
11,0.5,3,2,14,1,430,1,1,8.1,0,2,1,5,1,0
18,0.6,4,3,13,7,334,1,1,8.5,1,2,2,1,8,0
15,0.3,0,2,18,2,426,1,1,3.3,3,4,2,2,0,1
13,0.4,1,2,9,4,484,1,1,5.7,2,3,1,2,2,0
16,3.1,3,2,12,6,528,1,1,8.0,3,7,3,1,1,0
19,0.3,3,3,13,4,445,1,1,7.5,6,4,3,2,0,0
8,2.4,4,2,12,6,570,1,0,8.3,4,0,1,1,0,0
14,2.2,5,2,12,4,513,1,1,5.8,3,5,2,1,1,1
13,0.0,0,2,17,0,496,1,1,8.1,1,1,1,6,1,1
18,2.2,3,2,21,10,313,1,0,9.2,6,5,2,2,0,1
16,0.8,4,3,16,1,411,1,1,4.1,2,6,3,1,0,0
19,1.2,1,0,16,4,506,1,1,5.6,3,5,4,3,1,1
14,0.8,4,4,16,2,473,1,1,6.1,1,6,2,3,1,0
11,5.2,7,0,6,6,402,1,1,9.2,0,1,2,1,6,0
14,0.5,1,4,9,4,482,1,1,6.5,7,1,1,1,0,0
11,1.3,4,2,8,8,609,1,1,8.1,3,2,1,2,1,0
13,3.4,3,3,11,6,387,1,1,7.7,0,2,2,5,0,0
13,5.5,3,2,9,7,543,1,1,7.0,3,3,2,1,1,1
16,0.7,2,2,9,5,553,1,1,7.7,1,1,2,1,7,0
17,1.1,4,3,12,5,494,0,1,5.8,1,6,4,1,1,0
13,3.7,2,2,15,8,607,0,1,4.3,7,1,2,1,0,1
10,1.6,1,3,12,7,397,0,1,5.9,5,1,1,1,0,1
16,4.4,4,2,14,6,598,0,0,5.3,4,4,3,2,1,0
16,0.6,3,2,19,6,424,1,1,8.4,5,5,2,2,0,0
14,6.0,2,2,15,6,599,0,1,6.4,0,3,2,6,1,1
19,0.1,1,2,21,7,431,0,1,9.0,5,4,3,2,1,0
14,6.8,4,3,16,7,574,1,1,6.6,4,5,3,1,0,1
14,3.9,3,1,13,7,570,1,1,5.9,4,4,2,2,1,0
12,1.0,1,3,13,5,470,1,1,4.8,5,2,1,0,0,0
14,2.5,1,2,13,2,566,0,1,9.5,2,3,2,1,2,0
13,1.9,1,2,15,5,385,0,1,9.7,2,2,2,2,2,1
14,2.8,4,3,12,8,414,1,1,8.5,3,2,2,2,2,1
17,0.9,2,3,11,1,436,1,1,6.6,1,7,3,1,1,1
13,6.6,5,2,6,10,693,0,1,6.8,4,4,2,2,0,1
13,2.0,0,2,14,4,513,1,1,6.7,0,2,4,1,5,1
15,2.7,3,2,16,9,516,1,0,9.6,4,2,2,2,1,1
13,1.1,2,2,12,6,505,1,1,7.9,4,3,3,2,0,0
11,2.2,3,2,15,5,385,1,1,4.8,1,6,2,1,0,1
14,1.9,1,1,13,6,531,1,1,4.7,2,3,1,2,2,0
14,2.7,5,3,14,2,470,1,1,8.2,4,3,2,2,0,0
10,2.9,2,2,10,6,520,1,1,6.2,3,3,1,1,1,1
15,0.3,2,2,13,3,504,1,1,8.8,3,4,2,2,1,1
19,0.6,3,2,12,1,504,1,1,8.8,6,5,3,1,1,0
11,0.2,2,0,8,1,550,1,1,5.7,6,0,1,0,0,0
14,3.4,7,3,13,4,536,1,1,5.2,0,2,2,2,6,1
12,1.8,1,0,14,2,484,0,1,9.7,5,1,2,0,0,0
14,0.3,1,2,16,3,455,1,1,7.5,4,2,2,2,2,1
12,0.6,2,1,12,3,571,0,1,8.0,2,3,1,1,1,0
12,3.8,3,3,17,5,574,1,1,8.3,0,2,2,7,0,1
14,4.7,3,1,9,5,653,0,1,4.2,4,2,2,2,2,1
14,0.1,3,3,10,2,375,1,1,8.1,4,3,1,1,2,1
15,0.9,2,2,16,1,630,1,1,9.1,1,5,4,2,0,1
13,2.2,5,2,14,7,492,1,1,7.3,1,1,3,2,4,1
11,0.3,1,2,10,4,378,1,0,5.2,0,2,3,1,4,0
16,1.1,2,2,17,6,294,1,1,3.4,0,2,4,1,5,1
8,0.0,5,1,8,1,314,1,1,3.9,5,0,2,0,0,0
11,0.9,3,2,12,5,521,1,1,5.6,3,4,2,1,0,0
10,2.6,2,1,15,5,456,1,0,9.4,0,1,2,1,5,1
16,0.9,3,2,12,3,355,1,1,7.3,6,3,2,1,0,0
16,2.3,0,2,20,4,424,1,0,4.3,6,4,2,1,1,1
12,3.0,4,2,16,5,658,1,1,5.2,3,2,2,1,1,1
12,1.4,1,2,14,1,627,1,0,6.7,1,2,2,1,4,0
14,0.4,1,2,16,3,422,1,0,8.7,3,4,2,2,1,1
18,1.7,1,1,16,4,508,1,1,8.8,0,2,3,2,7,0
13,3.7,2,2,15,3,671,1,1,8.1,1,1,2,1,6,1
14,0.5,3,2,20,5,451,1,1,9.0,1,1,2,1,8,1
11,1.7,0,3,11,3,429,1,0,8.4,8,0,1,0,0,0
10,0.6,0,3,12,2,406,1,1,6.1,2,3,2,1,1,1
12,0.5,5,2,11,3,535,0,1,7.1,6,0,1,1,0,1
16,0.0,2,2,15,1,658,0,0,6.0,4,5,2,2,0,0
14,0.9,5,3,16,6,416,1,1,6.5,6,4,2,1,0,0
11,9.5,6,2,15,11,675,1,1,4.8,5,0,2,1,0,1
14,0.2,0,1,13,2,317,1,1,9.0,3,5,3,2,0,0
13,2.9,2,3,14,8,555,1,1,7.8,4,3,1,1,1,1
16,1.1,2,0,14,4,448,0,1,9.0,4,5,3,1,1,0
11,3.4,4,2,13,8,576,1,0,7.2,3,3,2,1,0,1
15,4.5,0,2,16,6,442,1,1,7.2,7,2,1,1,0,0
13,5.0,2,3,11,6,609,1,1,8.3,3,2,2,1,2,1
13,0.0,0,4,13,3,469,1,0,9.8,0,3,1,7,1,1
11,0.3,1,2,12,5,406,1,1,8.8,2,3,1,1,1,1
19,0.7,4,0,11,4,377,1,1,3.5,0,2,4,2,7,1
14,4.7,2,4,18,7,550,1,0,7.3,4,2,1,2,2,1
17,0.9,4,3,16,3,282,1,1,7.9,4,4,2,2,1,0
15,2.5,4,3,12,5,514,1,1,7.3,4,3,1,2,1,0
17,2.2,0,2,12,7,520,1,1,5.5,6,4,2,2,1,0
15,1.1,1,2,11,4,416,1,0,7.6,1,2,4,1,5,1
12,1.4,0,3,11,4,454,0,0,5.6,1,4,3,2,1,1
17,1.6,2,2,19,4,582,1,1,5.7,1,1,3,2,6,1
11,4.9,5,2,16,5,522,1,1,3.8,0,2,2,1,5,1
11,0.6,1,3,7,3,401,1,0,9.0,4,2,1,2,1,0
16,1.1,3,3,20,4,287,1,1,7.1,3,7,3,1,0,1
18,1.8,0,3,18,9,408,1,1,6.0,0,2,3,1,8,1
12,0.7,3,2,13,6,272,0,1,7.4,1,5,3,1,0,0
15,0.3,2,3,13,5,478,0,1,9.5,1,6,2,3,0,1
11,5.8,4,2,9,10,663,1,1,3.4,3,3,2,2,0,1
13,4.6,3,3,15,6,546,1,0,9.0,1,6,3,2,0,1
15,1.3,1,2,11,4,380,1,0,8.7,0,2,3,1,8,0
15,0.1,2,3,17,2,484,1,1,6.4,3,4,2,1,1,1
19,2.2,1,2,15,3,564,0,1,6.4,1,2,4,2,6,1
14,1.9,5,2,15,3,506,1,1,6.4,9,1,2,1,0,1
17,0.3,3,3,17,5,407,1,0,8.6,4,5,2,1,1,0
12,1.8,3,3,11,4,515,1,1,4.4,7,0,2,1,0,1
15,2.1,3,2,10,5,592,1,1,8.1,0,3,1,6,1,1
15,0.1,1,3,17,4,506,1,1,8.8,1,6,3,1,1,1
16,1.5,2,2,9,5,539,1,0,6.7,3,7,3,1,1,0
11,1.8,1,2,15,4,558,1,1,7.9,1,3,1,4,0,1
14,0.2,2,2,14,1,461,1,0,4.5,3,4,2,1,1,0
16,0.0,3,2,14,7,611,1,0,8.6,6,3,3,2,0,0
17,0.6,1,2,20,6,548,1,1,9.1,0,2,2,2,7,0
16,0.2,2,2,18,5,301,1,1,5.7,6,3,3,1,0,1
12,1.7,1,2,13,6,477,1,1,8.7,2,2,1,2,1,0
10,3.3,5,2,15,7,627,1,1,9.5,1,1,2,1,4,0
17,1.5,2,2,12,5,485,1,0,5.8,3,5,2,2,1,1
14,1.9,3,2,12,5,578,1,1,7.1,1,7,2,1,0,1
13,2.6,1,1,14,8,491,1,1,7.5,2,3,1,1,2,1
15,1.5,3,2,11,6,512,1,1,4.5,0,2,2,2,5,1
21,0.4,1,1,21,4,379,1,1,7.8,3,6,4,3,1,1
11,1.9,3,1,15,6,496,1,1,6.9,6,0,2,0,0,1
10,2.6,1,2,6,4,458,1,1,7.5,7,0,2,0,0,1
16,0.3,2,2,14,0,573,1,1,9.6,2,6,3,1,1,0
17,0.2,3,2,14,6,470,1,1,8.8,6,4,3,1,0,1
14,1.0,2,3,13,4,538,0,1,7.0,7,0,2,1,0,1
13,0.3,1,3,8,1,511,0,1,8.4,2,2,2,2,1,0
10,2.9,4,0,9,5,503,1,1,7.1,1,1,1,6,0,1
14,1.7,4,2,12,6,497,1,1,8.6,4,2,1,2,1,0
13,0.2,1,2,9,3,509,0,1,9.4,0,2,3,2,5,1
17,1.8,2,2,16,4,532,1,1,7.0,5,4,3,1,0,0
16,0.6,1,2,16,3,383,0,1,9.1,5,5,2,1,1,1
12,0.7,1,2,10,6,438,1,1,5.2,2,2,1,2,1,1
13,3.2,5,4,8,7,719,1,1,4.6,0,1,4,1,6,0
14,0.5,2,3,12,3,448,1,1,4.2,0,1,4,2,4,0
17,0.3,3,1,16,5,558,1,1,8.4,0,1,4,2,8,1
16,0.9,1,2,12,5,436,1,1,7.5,6,5,3,1,0,1
14,6.2,4,2,14,8,628,1,1,6.8,1,4,3,1,1,1
16,0.1,3,2,10,2,510,1,1,7.8,0,2,4,1,5,0
13,0.6,3,0,8,3,397,1,1,6.8,3,2,2,1,1,0
10,0.6,6,0,7,4,595,1,1,7.5,4,2,1,1,1,0
16,1.3,2,2,11,4,480,1,1,9.1,5,3,3,2,0,0
16,1.9,1,3,14,6,545,1,1,5.5,1,2,2,1,6,0
13,2.2,3,2,7,5,620,0,1,7.8,1,1,3,1,5,0
15,2.8,3,2,18,8,599,1,1,9.5,3,3,2,1,2,1
14,0.1,3,2,15,4,460,1,1,9.3,4,2,1,2,1,0
14,5.1,3,2,11,8,621,1,1,8.5,1,2,2,1,5,0
15,0.4,3,3,16,2,438,1,1,8.8,9,1,1,1,0,0
16,2.8,3,3,16,6,464,1,1,6.3,1,2,4,2,4,1
12,3.4,2,0,12,3,673,1,1,7.5,3,2,1,1,2,1
16,0.9,2,2,12,4,440,0,0,6.6,1,3,2,6,1,0
12,0.5,0,4,12,4,404,0,1,8.5,8,0,1,1,0,0
13,0.1,6,3,11,4,486,1,1,5.4,0,3,2,6,1,1
20,0.6,1,2,17,3,486,1,1,5.5,3,7,4,3,1,1
12,1.9,1,3,15,5,596,1,0,8.5,8,0,2,1,0,1
15,0.9,1,2,15,3,495,1,1,7.6,3,5,2,1,1,1
12,1.9,3,2,16,7,568,0,1,7.0,1,1,2,6,1,1
15,0.0,3,4,11,3,482,1,1,7.7,0,2,2,2,8,1
15,6.3,3,3,11,8,590,1,1,6.7,1,2,3,1,6,1
18,0.4,1,1,14,7,492,1,1,5.9,3,6,2,2,1,1
13,0.4,1,2,12,6,573,1,0,7.7,0,3,2,6,0,0
16,0.3,2,2,13,6,477,0,0,6.0,5,5,3,1,0,0
17,2.5,4,2,15,6,442,1,1,6.5,0,1,3,1,8,1
15,1.1,4,2,13,8,361,1,0,7.1,3,6,2,2,0,1
8,0.2,3,3,12,4,364,1,1,6.0,5,0,1,1,0,0
15,4.2,2,3,16,9,693,1,1,6.9,0,2,2,1,6,1
16,0.7,3,1,14,2,509,0,1,4.8,4,3,2,2,1,0
18,1.4,1,2,13,6,400,1,1,8.5,2,5,4,3,1,0
17,0.4,2,2,14,3,445,0,1,4.4,1,6,4,3,1,0
13,5.8,4,1,11,5,504,1,1,6.4,4,2,1,2,2,1
16,4.9,5,3,20,13,467,0,1,9.3,6,3,2,2,1,1
17,0.0,2,0,14,3,588,1,0,8.2,3,6,3,1,1,1
16,2.4,1,2,17,4,503,1,1,8.4,5,5,2,2,1,0
14,2.0,4,0,12,6,549,1,0,6.0,0,2,2,2,6,1
11,0.2,1,2,18,1,485,1,1,5.6,2,3,2,1,1,1
10,3.5,5,1,13,7,556,0,1,8.3,5,0,1,1,0,0
17,0.0,4,3,14,3,505,1,1,8.3,0,1,4,2,6,1
14,3.6,3,2,13,8,544,1,1,9.4,3,3,1,2,1,1
16,1.9,5,3,15,6,417,1,1,4.5,5,5,3,1,1,1
17,2.1,3,2,14,7,317,1,0,9.9,9,2,1,1,0,0
15,2.6,0,4,14,4,597,1,1,5.6,1,6,2,2,0,1
11,0.9,2,2,14,5,470,1,1,8.9,1,4,2,2,0,1
14,0.0,2,1,13,5,456,1,1,9.6,2,3,2,1,2,0
14,1.5,2,1,11,7,488,0,1,8.5,5,3,2,1,1,0
15,1.5,2,2,19,1,659,1,0,7.4,3,5,2,1,1,1
15,4.4,4,2,13,4,556,1,1,7.1,5,3,3,1,0,1
19,0.6,3,1,15,9,578,1,1,9.1,2,7,3,3,1,1
19,0.7,4,2,13,9,402,1,1,6.3,5,5,2,2,1,0
15,0.6,3,3,11,5,584,1,0,4.9,1,1,2,2,8,1
17,1.0,3,2,15,7,518,1,1,6.0,2,5,2,3,1,1
15,0.3,0,1,8,5,414,1,1,8.0,4,4,3,1,0,0
11,1.7,1,2,12,5,435,1,1,8.8,3,3,1,1,1,0
12,0.3,4,2,14,2,397,0,1,8.6,4,2,1,1,1,1
17,0.8,1,2,14,3,479,1,1,5.8,0,1,4,1,7,0
14,2.2,5,2,15,6,468,1,1,9.9,0,2,2,2,5,1
11,1.2,5,0,13,5,533,1,1,7.3,2,3,2,1,1,0
13,2.6,4,2,13,8,506,1,1,8.0,3,3,3,1,0,0
11,1.0,2,3,15,3,595,1,1,6.0,4,2,2,1,1,1
10,5.6,2,3,9,6,524,1,1,1.8,0,1,1,7,0,0
15,3.1,5,3,10,6,475,0,1,8.0,3,5,2,1,0,0
18,4.3,1,2,15,8,623,1,1,5.7,5,4,3,2,1,1
20,1.5,3,2,15,4,503,0,0,9.1,3,7,4,1,1,0
17,0.4,3,2,15,3,636,1,1,9.0,6,4,3,1,0,1
19,6.0,3,4,15,8,623,0,1,8.0,3,6,4,3,0,0
16,2.8,5,2,18,4,630,1,1,7.3,5,4,3,2,1,1
17,5.5,7,2,13,7,594,1,1,7.7,6,4,2,2,1,1
14,5.8,3,2,15,6,659,1,1,7.7,3,3,1,2,2,0
15,0.4,2,3,17,3,497,1,1,8.8,1,5,4,2,1,1
18,0.2,2,3,8,6,542,1,1,6.2,1,2,4,1,7,0
16,0.1,3,2,9,3,480,1,0,4.2,4,5,3,2,0,0
14,0.0,0,2,15,6,510,1,1,8.9,4,3,2,2,1,1
19,3.7,4,2,13,4,582,1,1,9.2,6,5,3,1,0,1
13,0.6,0,2,9,1,518,1,0,5.2,8,0,2,1,0,0
18,1.0,5,1,10,5,609,1,1,6.0,3,7,3,3,0,1
15,0.7,2,3,6,2,513,0,1,9.6,5,5,2,1,0,0
12,3.5,5,1,12,6,406,1,1,8.9,5,1,2,0,0,1
15,0.6,3,2,12,2,370,1,0,4.9,9,0,2,1,0,0
8,2.1,1,3,12,9,513,0,1,8.6,5,0,1,0,0,0
16,2.7,3,2,14,4,510,1,1,8.5,6,3,3,1,1,0
14,0.4,2,1,15,3,349,1,1,8.4,3,2,2,2,2,0
15,0.6,2,2,18,5,566,1,1,6.6,4,3,1,1,2,0
15,0.1,1,2,11,4,477,1,1,7.8,1,3,1,5,1,1
16,3.5,2,2,15,5,543,0,1,7.5,3,5,2,2,1,1
16,2.1,2,0,16,5,581,1,1,6.1,2,7,4,1,1,1
17,0.9,5,2,12,6,423,1,1,6.3,3,6,3,3,1,1
13,0.2,1,2,11,5,516,1,0,7.1,0,2,2,7,1,0
11,0.6,3,3,15,1,463,0,1,6.5,0,2,2,6,0,0
16,4.1,5,3,13,8,491,1,1,6.6,4,5,2,1,0,1
15,0.2,3,2,12,2,552,0,1,7.2,8,2,2,0,0,1
16,0.1,0,2,14,3,654,1,1,6.9,0,1,2,1,8,0
